262144
135168 126976
u 226138 14
u 217920 -13
u 193657 3
u 106254 0
u 78349 -6
u 219726 -11
u 205603 -7
u 57296 12
u 74009 -13
u 22056 -10
u 240661 7
u 163658 -12
u 248503 2
u 66980 16
u 111543 9
u 235991 -8
u 158078 9
u 117549 -6
u 81644 14
u 219416 4
u 50218 7
u 212520 19
u 256433 -18
u 208767 -9
u 47310 15
u 132081 -16
u 147284 -14
u 77894 0
u 179937 2
u 110893 -15
u 76861 -7
u 104874 15
u 14364 13
u 62387 -5
u 184082 -17
u 256002 15
u 196658 11
u 227979 9
u 214052 6
u 259248 19
u 143283 0
u 25048 -15
u 162781 -4
u 162067 -7
u 247818 -18
u 109910 -10
u 95557 12
u 35332 -3
u 175064 -5
u 205930 -5
u 117379 10
u 69160 -12
u 144023 -14
u 242843 -5
u 209599 16
u 95152 -6
u 106988 -1
u 119162 -18
u 223144 -17
u 88200 11
u 29902 10
u 9211 0
u 150751 -13
u 235381 -10
u 142264 7
u 160674 19
u 116812 15
u 49394 19
u 2687 -15
u 94625 12
u 7896 8
u 40881 -2
u 47835 4
u 122511 -18
u 179129 12
u 217655 11
u 146678 14
u 72347 -14
u 9268 -13
u 98958 3
u 224752 19
u 149032 -7
u 227323 10
u 78113 15
u 228519 6
u 180153 16
u 100372 13
u 89158 2
u 118933 12
u 157044 -14
u 160237 -2
u 244950 -13
u 77279 -11
u 80058 -6
u 100737 7
u 238080 -10
u 176505 0
u 142766 1
u 61251 13
u 109552 -15
u 131474 -15
u 1899 15
u 248596 -6
u 117911 -3
u 40583 -18
u 141304 10
u 125368 -1
u 245593 10
u 179264 -10
u 27052 -17
u 242525 -19
u 81203 3
u 127958 14
u 36428 8
u 182706 2
u 216837 -12
u 173542 13
u 21740 4
u 47650 1
u 3237 -6
u 152464 2
u 26911 -17
u 6509 -18
u 218338 8
u 73869 17
u 203631 -11
u 248380 -16
u 211137 -2
u 246660 17
u 41260 5
u 131403 19
u 219259 -13
u 214690 16
u 202797 -19
u 118508 11
u 88431 -18
u 88433 -2
u 24518 -5
u 125703 17
u 18571 10
u 226103 13
u 253823 12
u 244892 10
u 64390 15
u 188239 -3
u 134488 -11
u 101605 -6
u 100301 -11
u 70460 -13
u 54349 8
u 246990 1
u 197797 -8
u 258124 13
u 168221 -1
u 203027 8
u 59112 5
u 146851 -12
u 117183 0
u 253608 7
u 96866 7
u 25081 15
u 237203 0
u 60815 -8
u 180838 0
u 116316 15
u 58099 -4
u 115825 19
u 174443 -2
