65536
234496 27648
u 59514 7
u 20193 -1
u 47171 19
u 13574 3
u 41694 1
u 65391 -10
u 17391 -3
u 47854 17
u 14276 -5
u 61540 -17
u 12178 1
u 7463 -5
u 37693 -8
u 60602 -5
u 2636 0
u 23020 17
u 13991 6
u 26558 17
u 42643 4
u 34421 -8
u 10118 0
u 34774 -3
u 60530 -9
u 23479 -14
u 41317 -8
u 13022 12
u 54696 -7
u 11109 -3
u 38975 -16
u 50194 5
u 39920 -15
u 38228 12
u 50892 19
u 49538 -2
u 39384 -8
u 46802 10
u 52700 -10
u 11476 9
u 33134 1
u 56966 -14
u 54441 -17
u 62412 6
u 24937 -15
u 4920 19
u 14162 13
u 39990 13
u 62794 -12
u 42457 9
u 11933 -3
u 10614 11
u 44883 15
u 35285 0
u 7922 8
u 14206 5
u 16182 -16
u 49972 -16
u 10089 8
u 48690 1
u 54835 12
u 33404 -17
u 43190 -15
u 57544 4
u 20541 1
u 23063 0
u 60926 0
u 18257 4
u 25559 12
u 6785 0
u 34768 -7
u 9002 11
u 26629 15
u 56039 2
u 40287 3
u 6209 -1
u 27269 4
u 33049 -16
u 47473 -4
u 45372 -18
u 59525 -18
u 34953 13
u 36577 12
u 29653 17
u 41216 2
u 30083 -13
u 57431 3
u 61400 -8
u 32523 11
u 55242 -15
u 25562 17
u 36862 12
u 35531 -17
u 57755 -9
u 29434 2
u 19947 -5
u 40490 13
u 12803 -12
u 42574 5
u 8134 -8
u 13360 3
u 28704 -16
u 11766 -5
u 23779 7
u 10936 -11
u 51565 2
u 9402 -6
u 23794 7
u 27269 -10
u 62402 14
u 53604 -9
u 14592 -2
u 6178 -3
u 40092 9
u 4317 9
u 1473 -9
u 20907 -1
u 22932 0
u 54746 8
u 11428 -19
u 60198 18
u 36644 -17
u 20351 16
u 48999 9
u 10916 7
u 38788 19
u 62680 12
u 27544 -17
u 15240 -18
u 52076 -8
u 50327 12
u 37235 -16
u 18190 16
u 38373 -15
u 41344 10
u 7547 1
u 47260 6
u 40072 -18
u 39095 -5
u 49696 10
u 3865 -5
u 48996 -19
u 10794 -13
u 4332 -4
u 13106 14
u 45592 18
u 44421 -9
u 3596 18
u 11924 5
u 4476 12
u 26236 -12
u 23740 -15
u 56216 18
u 10036 -1
u 21812 16
u 14250 -4
u 17146 18
u 26687 -2
u 8716 -1
u 53975 -6
u 21892 0
u 19719 -19
u 51324 -5
u 63390 18
u 65286 -18
u 50982 -4
u 14355 -14
u 33947 -16
u 7463 6
u 34810 -2
u 38181 9
u 54953 13
u 46772 -10
u 17732 13
u 47125 -16
u 11774 -17
u 40204 0
u 4259 -4
u 54810 -18
u 23706 13
u 4444 -14
u 15011 -8
u 18340 9
u 23835 -4
u 27407 15
u 55079 -19
u 42171 7
u 55380 -5
u 60601 -15
u 13359 5
u 13749 -4
u 45672 12
u 56628 10
u 14410 8
u 52046 3
u 34928 14
u 47270 10
u 9755 -19
u 33363 0
u 25878 17
u 26700 -10
u 60822 -17
u 59918 10
u 26742 13
u 58244 4
u 31639 -16
u 65236 -12
u 60410 14
u 61708 -14
u 36695 9
u 47403 -16
u 39173 -2
u 56027 9
u 29213 -5
u 16983 13
u 19089 6
u 4978 -11
u 47020 19
u 65043 -14
u 54345 15
u 48329 -7
u 64209 9
u 32225 16
u 38822 -2
u 2833 -13
u 11080 10
u 16069 10
u 13839 -15
u 33647 6
u 30416 10
u 32608 10
u 28779 2
u 63882 -13
u 36948 18
u 18490 -4
u 55606 -19
u 46207 13
u 49313 -12
u 47827 -6
u 41293 10
u 32581 11
u 35361 9
u 37092 10
u 55212 -16
u 26717 -7
u 55834 16
u 4064 -8
u 31378 -18
u 29342 -18
u 265 9
u 28548 14
u 49117 -14
u 44614 0
u 22116 -3
u 55495 18
u 12030 -6
u 50248 8
u 5656 -6
u 31057 17
u 27008 15
u 15427 -9
u 51565 -8
u 36386 -9
u 21902 -19
u 20198 -6
u 48025 9
u 12503 0
u 57966 14
u 64501 -11
u 18487 13
u 12421 -1
u 11466 18
u 12374 -9
u 18938 6
u 12456 8
u 35671 -2
u 63255 -6
u 47374 0
u 39109 -17
u 34297 16
u 25908 -9
u 42519 3
u 48394 1
u 29993 8
u 49497 9
u 36285 17
u 13463 9
u 59052 -4
u 64874 -12
u 3734 -12
u 58402 4
u 39678 14
u 61108 -6
u 24690 1
u 25258 16
u 28454 11
u 10240 -16
u 24043 15
u 40387 12
u 40458 -5
u 36981 -13
u 20731 10
u 58959 -11
u 10747 15
u 26702 -11
u 4557 -8
u 53888 6
u 10154 10
u 218 1
u 18606 -4
u 28297 8
u 11108 3
u 52497 1
u 31635 -3
u 23651 -15
u 51698 17
u 17766 -15
u 45542 -13
u 21142 14
u 3953 9
u 5235 -14
u 1878 16
u 52747 -12
u 43048 12
u 46876 17
u 12907 -14
u 43179 -5
u 48175 -1
u 59166 -11
u 57491 -9
u 20834 6
u 12379 3
u 50548 15
u 49791 -16
u 48675 12
u 54000 12
u 62256 14
u 47497 10
u 2374 -4
u 36898 10
u 21129 10
u 58889 19
u 8284 5
u 28914 -18
u 55805 -7
u 19197 -13
u 64524 0
u 49704 10
u 23963 0
u 55691 -15
u 22169 6
u 61012 -8
u 34498 6
u 2821 2
u 2449 4
u 20588 -5
u 23989 -11
u 22352 0
u 55471 11
u 34189 7
u 6601 12
u 56844 -16
u 19429 5
u 55126 6
u 9437 7
u 50495 0
u 23902 8
u 50496 15
u 23411 12
u 29737 -4
u 27502 10
u 49439 11
u 64268 -16
u 18230 13
u 57522 11
u 34409 19
u 40271 -4
u 4177 16
u 1195 16
u 37557 -13
u 39049 -6
u 42239 18
u 2953 -3
u 55816 -3
u 14981 -7
u 52224 5
u 4808 2
u 28440 -17
u 42384 8
u 57745 0
u 33553 -3
u 32958 -14
u 52336 2
u 2453 12
u 30903 4
u 64164 -17
u 62527 4
u 1831 19
u 2530 15
u 26308 -9
u 12129 -12
u 59996 -9
u 49125 -6
u 20478 -4
u 4034 -12
u 60344 2
u 39306 -3
u 45877 -4
u 64903 9
u 14103 -1
u 22805 -12
u 34687 -7
u 53598 2
u 19740 14
u 28631 8
u 8105 4
u 59046 -18
u 57698 6
u 25466 -12
u 3074 -1
u 25329 18
u 1553 19
u 25651 8
u 25208 -4
u 30225 3
u 55289 12
u 52043 -5
u 7291 4
u 60959 -3
u 30699 -5
u 7545 3
u 64815 -19
u 41371 14
u 43692 -19
u 4083 8
u 30803 -2
u 44650 0
u 28514 -17
u 14252 12
u 29784 7
u 27498 -8
u 31973 -11
u 43978 3
u 54111 4
u 760 -8
u 63456 -14
u 58080 18
u 9361 0
u 54178 12
u 35218 15
u 34285 -19
u 22139 -11
u 32843 10
u 18166 8
u 38840 9
u 26039 -19
u 1953 15
u 14808 8
u 31741 -17
u 19797 0
u 22659 -9
u 40807 -10
u 14917 10
u 49120 -17
u 37687 -8
u 61821 -16
u 19289 -8
u 19836 11
u 3543 3
u 33693 5
u 20418 16
u 43187 -6
u 52209 15
u 2767 -8
u 61380 -6
u 50916 -8
u 40282 -4
u 33708 13
u 10821 -9
u 58760 9
u 36096 13
u 54944 13
u 7935 -14
u 41983 -12
u 47249 -13
u 53864 -18
u 4338 0
u 24503 14
u 23976 -3
u 9426 -7
u 49835 16
u 38324 -4
u 20995 -16
u 14245 0
u 23789 -15
u 14789 16
u 62516 -17
u 49736 -16
u 13443 -4
u 16395 17
u 36324 -17
u 62825 4
u 36239 -6
u 31674 16
u 49063 5
u 14500 0
u 35908 12
u 57943 14
u 59321 -15
u 23184 -9
u 14123 3
u 11926 -13
u 42171 17
u 16019 13
u 22310 0
u 50773 15
u 37138 9
u 33761 -15
u 4319 19
u 2522 12
u 41001 -9
u 21208 -13
u 4311 -11
u 2742 18
u 20270 -4
u 15672 0
u 63901 -3
u 45497 4
u 23725 17
u 30617 8
u 28396 -10
u 39134 19
u 63917 -15
u 7841 -18
u 7260 -13
u 56082 9
u 27385 -12
u 59637 0
u 25371 18
u 29794 7
u 22771 7
u 14500 -7
u 7530 16
u 61674 0
u 55979 -3
u 11755 -8
u 42609 11
u 18839 5
u 58249 -3
u 43691 19
u 37043 0
u 48237 19
u 45992 5
u 30590 -16
u 39182 16
u 51470 17
u 40315 -19
u 17554 9
u 60432 -11
u 13565 11
u 40447 -4
u 4180 -9
u 10674 -5
u 58512 -17
u 49699 2
u 3362 -7
u 5369 11
u 20100 11
u 28403 10
u 57190 -18
u 45539 6
u 64003 -7
u 43560 -10
u 2628 3
u 29714 -10
u 23797 -17
u 41513 -2
u 22148 11
u 50998 -10
u 55576 1
u 51793 15
u 56369 14
u 45003 -13
u 42989 -15
u 61625 1
u 9920 5
u 12233 -14
u 61946 14
u 24409 19
u 28715 13
u 15232 12
u 58750 14
u 14955 -10
u 43398 -19
u 30488 0
u 35579 -9
u 26841 -3
u 8372 -16
u 37346 11
u 14179 0
u 20470 -5
u 9527 0
u 32486 -16
u 22962 14
u 4978 11
u 45484 -7
u 38654 3
u 11421 12
u 54062 13
u 54026 -8
u 22722 -5
u 35760 10
u 50481 6
u 55873 -6
u 29959 -17
u 55728 10
u 28615 19
u 17597 17
u 5658 4
u 52462 -13
u 26701 0
u 30847 19
u 5575 5
u 53428 16
u 31553 5
u 13117 13
u 452 9
u 38305 11
u 27475 -2
u 7690 15
u 33158 18
u 42328 17
u 63138 16
u 57340 -18
u 34950 7
u 13898 17
u 11143 7
u 61471 -9
u 21479 10
u 10820 12
u 25748 -5
u 41773 -4
u 7280 -11
u 11598 1
u 43184 -8
u 26654 -13
u 17172 -17
u 7045 -10
u 63373 19
u 18036 0
u 43118 0
u 28904 13
u 11144 -4
u 5444 0
u 8669 -10
u 20120 1
u 40203 17
u 60618 8
u 10901 -15
u 16704 13
u 25970 6
u 64893 6
u 46805 -16
u 57917 7
u 5253 -13
u 11895 9
u 42352 4
u 37097 12
u 104 5
u 20584 -14
u 58808 4
u 43191 0
u 37063 3
u 15424 9
u 44954 0
u 36514 -16
u 9950 1
u 48531 14
u 42275 4
u 35863 9
u 51330 9
u 30365 -2
u 23022 -18
u 16107 -5
u 44469 2
u 31901 3
u 11861 -14
u 5681 9
u 47829 -7
u 31353 -3
u 53233 -18
u 32637 18
u 38204 -10
u 54404 -10
u 56545 -4
u 62472 5
u 6955 -3
u 4951 -1
u 29228 -7
u 53105 -15
u 57750 -8
u 45903 -17
u 29027 11
u 53000 -13
u 7154 -8
u 38569 16
u 21150 -16
u 58036 16
u 21303 8
u 8762 -12
u 6102 -16
u 54653 -12
u 33001 16
u 43036 17
u 15128 -1
u 4856 -15
u 50077 10
u 11418 -11
u 36809 19
u 24890 6
u 17701 18
u 38816 3
u 3594 0
u 32670 -4
u 12686 5
u 37210 -8
u 47131 -3
u 31846 -11
u 20398 -14
u 11290 1
u 39953 -10
u 42868 -5
u 1371 13
u 38063 3
u 53170 18
u 16607 -16
u 60876 13
u 44187 19
u 21204 -13
u 23832 0
u 52754 17
u 52680 0
u 21836 -8
u 48947 5
u 28337 16
u 12224 -18
u 10849 13
u 27248 -12
u 43844 19
u 50400 0
u 62729 -19
u 36815 15
u 56896 -10
u 57004 -12
u 26788 -10
u 46456 -11
u 10809 0
u 48358 0
u 52591 0
u 9343 -10
u 26472 -6
u 18147 2
u 11125 7
u 49543 13
u 45172 1
u 20913 5
u 35880 15
u 34898 -3
u 7659 -3
u 39806 1
u 41669 -7
u 48455 12
u 54328 0
u 19587 5
u 63048 -2
u 56776 -5
u 50499 -14
u 61307 17
u 54783 7
u 51059 1
