65536
220160 41984
u 60756 -6
u 49069 13
u 30920 -14
u 47053 11
u 4868 7
u 48937 -17
u 9149 -9
u 2789 0
u 13430 6
u 44776 -8
u 56183 19
u 59909 -9
u 14100 -6
u 49008 -3
u 23705 0
u 437 -8
u 54292 10
u 7881 -7
u 57854 13
u 5438 18
u 35124 13
u 1419 7
u 5461 -17
u 12770 -8
u 47035 15
u 37271 2
u 56073 0
u 54465 -17
u 53738 3
u 32181 -12
u 4272 0
u 30834 15
u 16590 3
u 12707 -14
u 28114 -8
u 6095 18
u 6986 -15
u 41976 -12
u 11723 13
u 31340 15
u 46758 -18
u 30905 2
u 34720 -7
u 41933 -6
u 57774 -14
u 34831 17
u 41197 -19
u 55076 15
u 38845 -18
u 1161 -19
u 20393 -15
u 64663 -3
u 14771 5
u 39827 -3
u 30315 -16
u 19717 -12
u 8707 10
u 48832 6
u 4923 -4
u 814 18
u 33808 1
u 59209 -14
u 35776 9
u 1722 -14
u 50998 -18
u 10509 -16
u 10140 -14
u 33236 -4
u 50740 -15
u 51406 -10
u 13159 -16
u 27057 -6
u 56211 -13
u 65295 17
u 35583 -19
u 58297 -17
u 36220 11
u 13325 -16
u 35184 -10
u 15546 -7
u 17931 -4
u 26503 -2
u 35692 16
u 52982 -7
u 1731 3
u 36417 -10
u 44441 18
u 36758 1
u 8292 2
u 30716 6
u 37091 -5
u 47731 -15
u 9912 17
u 14236 7
u 10568 -1
u 207 -2
u 55838 -3
u 56571 -4
u 20914 6
u 46893 -6
u 17335 -9
u 37536 17
u 15713 -14
u 31358 -5
u 45275 17
u 2344 -9
u 20016 10
u 24605 -1
u 45596 3
u 9490 14
u 3088 -14
u 19129 15
u 36409 -13
u 19386 14
u 54183 -19
u 14432 -16
u 18518 11
u 2223 0
u 60727 0
u 58237 4
u 30120 16
u 57296 10
u 45121 -10
u 14531 -4
u 55208 -5
u 15812 15
u 33719 1
u 51688 -17
u 45107 -16
u 61916 0
u 6284 -13
u 39738 -4
u 62782 5
u 59034 15
u 10008 11
u 32904 4
u 46781 -4
u 24731 -3
u 41032 3
u 51550 -1
u 63283 -18
u 23466 0
u 36769 -14
u 36060 -10
u 15159 0
u 50096 -6
u 43254 -5
u 46246 4
u 726 4
u 32940 -13
u 25944 -19
u 50864 -15
u 24974 -13
u 33557 -19
u 49322 -8
u 31175 8
u 21397 13
u 13001 15
u 64261 9
u 8972 -11
u 15966 16
u 35328 16
u 17832 -10
u 34187 -8
u 55783 -19
u 29294 -10
u 1900 -11
u 23382 -3
u 24682 14
u 27345 -14
u 10974 15
u 55538 0
u 47628 -18
u 25003 8
u 52066 0
u 60239 -18
u 27509 -1
u 61718 7
u 46071 -1
u 63900 2
u 31962 -3
u 52510 0
u 42281 -13
u 60737 -19
u 1760 -6
u 9897 -12
u 15533 19
u 45108 18
u 2904 -17
u 43979 13
u 38552 3
u 57467 -19
u 3179 12
u 45867 10
u 18485 6
u 20033 10
u 6354 -15
u 18773 9
u 17365 -11
u 50064 -8
u 36523 16
u 31862 11
u 59861 -13
u 49681 18
u 16011 -2
u 52200 13
u 1272 6
u 55090 -17
u 32246 1
u 53702 10
u 14117 -14
u 35642 -7
u 15208 13
u 3572 0
u 2856 12
u 51700 4
u 48061 -8
u 25899 5
u 29461 -13
u 39616 7
u 38170 -3
u 34500 4
u 4877 -5
u 43895 2
u 59476 0
u 22319 -15
u 40262 15
u 28530 13
u 46842 0
u 22509 10
u 20202 -14
u 23541 -18
u 26700 10
u 45115 14
u 59487 -8
u 36097 0
u 45478 -16
u 6029 10
u 29117 10
u 21942 -5
u 16452 7
u 31115 14
u 36687 16
u 46650 -9
u 26212 -17
u 2156 8
u 12298 -4
u 49143 3
u 9604 -2
u 29623 -17
u 47920 -19
u 35677 -2
u 5248 5
u 12681 0
u 26096 1
u 57424 5
u 13350 -5
u 33727 10
u 17114 -10
u 2496 6
u 18467 -17
u 24205 -1
u 30351 -15
u 4227 4
u 36537 0
u 43511 -8
u 34037 -11
u 46783 3
u 55359 16
u 8116 -10
u 28553 -19
u 58467 5
u 23009 -3
u 26406 4
u 41502 -2
u 17914 16
u 33555 5
u 25198 19
u 49933 -2
u 38326 -7
u 63278 -10
u 39856 0
u 29953 -7
u 5530 -7
u 15033 -11
u 35696 6
u 13651 -2
u 19955 2
u 55287 8
u 11248 0
u 9728 -2
u 25688 6
u 5746 11
u 41654 13
u 14777 -11
u 11078 -12
u 30746 11
u 44300 17
u 6503 10
u 14941 -6
u 63477 10
u 65124 -12
u 13729 -8
u 48253 -17
u 369 16
u 34735 -13
u 23127 16
u 53381 -2
u 45775 -1
u 19017 16
u 43944 -1
u 7536 -14
u 15496 11
u 4319 -6
u 36131 -8
u 43536 0
u 4361 6
u 45665 -8
u 62668 -2
u 21572 18
u 22348 14
u 7599 7
u 51196 17
u 8814 0
u 24944 -3
u 26452 -17
u 57928 0
u 12508 -15
u 20290 -9
u 29888 14
u 36088 -15
u 24959 4
u 51013 -16
u 58541 9
u 33472 -11
u 45648 14
u 5350 12
u 35761 14
u 48692 7
u 22447 -15
u 6871 9
u 11454 19
u 17353 -5
u 7153 2
u 40790 2
u 28531 -13
u 44932 12
u 51792 -1
u 58579 7
u 13020 -3
u 59376 15
u 16802 19
u 46380 12
u 55738 -1
u 31603 -12
u 37638 3
u 61550 9
u 37740 -11
u 7519 7
u 51013 9
u 16401 -11
u 59652 17
u 1962 8
u 26206 16
u 25171 3
u 21523 -8
u 32359 3
u 18202 -11
u 25353 -14
u 42740 14
u 21055 -10
u 29896 -9
u 63935 -18
u 30439 -16
u 46994 -10
u 54229 18
u 29925 9
u 59192 0
u 28719 -7
u 26895 12
u 59091 9
u 7366 -4
u 21208 -4
u 39118 8
u 33974 -10
u 37982 13
u 31165 -18
u 6565 -1
u 4443 2
u 35484 11
u 52922 -5
u 49298 -9
u 6988 6
u 49200 1
u 62819 -13
u 24063 14
u 58978 0
u 16753 -11
u 56999 14
u 61213 -4
u 6657 0
u 14932 3
u 36003 -6
u 1852 4
u 58503 2
u 26350 8
u 61514 -13
u 63201 -18
u 53068 8
u 38674 10
u 57424 18
u 41190 11
u 28632 15
u 65518 -7
u 48278 17
u 45534 13
u 29320 16
u 27223 19
u 16430 -2
u 40235 -14
u 877 -19
u 55287 18
u 11163 12
u 65358 19
u 34281 3
u 49047 -4
u 35699 -4
u 11502 19
u 17109 -12
u 18893 19
u 7145 19
u 54788 2
u 59360 -9
u 36254 -13
u 45552 -13
u 19651 8
u 12004 -14
u 43285 -5
u 62355 6
u 21863 -1
u 16069 -16
u 57271 11
u 30077 -18
u 50566 8
u 14722 -17
u 47038 -6
u 2815 2
u 58334 17
u 52767 -2
u 6894 0
u 40006 -3
u 13678 11
u 35948 14
u 9642 0
u 34536 0
u 63868 10
u 36880 13
u 36838 -19
u 58842 -6
u 48607 -15
u 25792 -1
u 29897 -2
u 865 -6
u 25248 12
u 51747 0
u 20882 -3
u 58688 1
u 12692 -2
u 25989 -6
u 61869 16
u 53839 16
u 45594 -4
u 50270 -9
u 26605 6
u 38766 -14
u 51605 19
u 39787 -10
u 27630 4
u 38662 12
u 28750 -4
u 19486 10
u 51091 -12
u 18657 18
u 41740 7
u 20583 3
u 39635 -14
u 32740 -7
u 34071 -9
u 36591 17
u 61051 -14
u 4817 8
u 8844 7
u 63087 2
u 19721 2
u 23818 9
u 61088 6
u 32568 8
u 55944 11
u 44892 0
u 30335 19
u 4687 -17
u 8826 2
u 24129 6
u 54903 17
u 38037 10
u 5006 6
u 32003 -11
u 21923 -1
u 50326 5
u 233 -14
u 24580 17
u 51914 14
u 42429 5
u 42838 -6
u 8935 -15
u 21725 -11
u 12073 -1
u 51051 2
u 7913 4
u 31387 8
u 25301 2
u 23270 14
u 50244 7
u 21325 1
u 21303 -6
u 43643 8
u 17344 -1
u 37497 16
u 6808 -10
u 16024 -10
u 22437 3
u 29367 1
u 2766 -10
u 5176 -13
u 55302 2
u 56631 -10
u 7421 -11
u 6837 15
u 59559 -2
u 27165 -10
u 49721 -16
u 61211 -19
u 35294 0
u 61303 5
u 47972 -12
u 57846 -17
u 49541 -6
u 39384 11
u 36561 7
u 62987 -3
u 15589 13
u 41395 -5
u 2912 9
u 15141 18
u 10859 5
u 12262 16
u 47578 -15
u 62110 -9
u 41109 15
u 59440 -5
u 4134 11
u 28419 12
u 7893 -18
u 40448 7
u 46829 3
u 5246 18
u 26446 8
u 19893 -2
u 29340 1
u 26294 4
u 11804 3
u 35245 16
u 46494 0
u 11185 -6
u 24162 -16
u 45614 -2
u 56840 -14
u 16437 19
u 10765 14
u 43652 15
u 29249 9
u 54478 13
u 30006 -14
u 19518 16
u 43870 7
u 34010 13
u 18833 -17
u 49522 19
u 35539 17
u 21859 16
u 261 -18
u 22462 14
u 10435 3
u 56300 -7
u 30248 1
u 13260 16
u 17781 -18
u 49658 9
u 11038 -17
u 41597 13
u 49453 -13
u 45048 -18
u 13791 -2
u 2542 10
u 24207 -5
u 43496 -5
u 26340 -19
u 16035 2
u 39322 -15
u 57977 -17
u 41217 -16
u 63533 16
u 7905 9
u 41250 -8
u 51295 -9
u 8316 1
u 27383 12
u 37964 5
u 16863 4
u 24969 5
u 64909 -18
u 4 -4
u 3352 -10
u 62489 6
u 22840 13
u 46709 19
u 60632 7
u 57521 -18
u 26825 0
u 21946 -12
u 50547 -1
u 47798 -12
u 18092 -7
u 53570 1
u 60733 -12
u 10491 16
u 15932 -13
u 20283 -8
u 26536 -9
u 61959 10
u 6631 6
u 47900 -18
u 22303 4
u 4730 9
u 7586 -3
u 61713 15
u 56940 6
u 4993 -14
u 64203 15
u 44452 16
u 6030 13
u 53971 -6
u 65440 -14
u 41249 -3
u 25955 2
u 10282 0
u 15269 15
u 34314 2
u 32532 3
u 21164 4
u 185 -9
u 32717 14
u 61319 3
u 1086 16
u 30738 7
u 53851 2
u 34947 5
u 58732 1
u 51004 1
u 61292 -13
u 6582 -16
u 44010 -6
