65536
180224 81920
u 15284 10
u 20303 -7
u 48357 0
u 38040 -10
u 49248 11
u 35504 -9
u 3736 7
u 14348 0
u 53722 7
u 64383 14
u 51793 4
u 25245 3
u 3633 0
u 53119 6
u 57464 -3
u 7910 -15
u 11506 -2
u 27239 16
u 62001 19
u 9157 7
u 50610 7
u 63712 13
u 24126 -12
u 20002 -12
u 58302 -8
u 3179 7
u 58511 -2
u 17812 17
u 62397 -16
u 40316 13
u 32452 9
u 61539 6
u 10904 -5
u 38287 -15
u 22987 8
u 53083 -15
u 26570 11
u 62409 10
u 63784 -9
u 63009 14
u 35726 -19
u 35575 -2
u 29077 12
u 25310 -4
u 58783 -19
u 14729 -4
u 48318 -13
u 4122 16
u 33976 5
u 1057 14
u 24318 13
u 65026 11
u 39864 17
u 36049 3
u 13239 0
u 29128 9
u 34176 19
u 12132 18
u 52555 2
u 23657 7
u 37534 3
u 5966 -7
u 49120 -13
u 14004 -9
u 52498 -10
u 8988 -13
u 3667 -14
u 62168 6
u 4842 0
u 16109 -8
u 669 7
u 1512 1
u 44405 -11
u 32563 0
u 51088 14
u 11691 -5
u 29071 -9
u 43404 -12
u 27747 15
u 30216 -11
u 6935 3
u 25990 -13
u 47683 -6
u 54134 12
u 55305 -17
u 5072 14
u 49945 -15
u 25284 -2
u 20230 15
u 60239 -16
u 48531 -16
u 28869 -12
u 24053 -15
u 24722 11
u 64146 13
u 975 -16
u 28607 -3
u 16148 -13
u 49588 -17
u 63281 4
u 9454 -18
u 29797 16
u 9402 13
u 22678 -1
u 47393 -9
u 35415 -1
u 23777 19
u 42455 9
u 5486 -18
u 34096 -17
u 56581 1
u 9643 -8
u 62037 -4
u 30408 8
u 30538 -2
u 19912 4
u 30971 10
u 33856 4
u 39254 14
u 4471 -7
u 8381 4
u 51500 0
u 38636 -2
u 14453 6
u 30063 9
u 48221 -7
u 18086 15
u 40761 -11
u 18119 -16
u 60677 9
u 33787 -10
u 23115 19
u 64762 14
u 39597 3
u 47971 6
u 59592 14
u 18421 7
u 22975 14
u 8441 2
u 35646 3
u 20443 -8
u 59613 3
u 10659 1
u 53117 -2
u 40472 9
u 11901 -14
u 63312 1
u 7947 18
u 26453 9
u 35483 -14
u 26079 -1
u 65241 7
u 9561 -6
u 36022 -9
u 60110 -16
u 56507 -10
u 24464 10
u 53547 1
u 19887 5
u 63903 16
u 23851 -13
u 3548 -6
u 45286 -12
u 18630 -16
u 59040 13
u 15093 -8
u 18117 -10
u 64084 -3
u 37480 1
u 45682 0
u 40704 2
u 47072 19
u 21703 1
u 34756 5
u 10677 0
u 36414 1
u 43393 4
u 56157 -5
u 51458 -14
u 29348 7
u 63365 7
u 64547 -10
u 59242 18
u 43626 0
u 32131 -5
u 63241 -15
u 60426 7
u 6932 -9
u 14325 5
u 58184 -4
u 9276 -2
u 59532 12
u 3489 10
u 10279 13
u 59404 4
u 34374 14
u 18534 0
u 7645 -12
u 30945 11
u 43427 18
u 9507 5
u 4839 -17
u 20373 -12
u 20991 1
u 53460 -11
u 59703 18
u 42702 12
u 49872 8
u 38317 16
u 35603 0
u 34243 -17
u 23884 12
u 37828 0
u 65018 -18
u 17264 6
u 778 -3
u 18505 -16
u 31170 3
u 17390 11
u 8043 -16
u 265 -18
u 2516 6
u 55911 11
u 23624 -2
u 47003 16
u 60878 -10
u 63669 -8
u 2952 1
u 50756 -18
u 39199 -18
u 45344 4
u 29257 18
u 45595 16
u 37194 18
u 47054 7
u 2764 8
u 47449 -16
u 24752 3
u 57668 9
u 981 3
u 42068 17
u 54846 4
u 15551 15
u 10627 -19
u 60234 10
u 3257 4
u 24268 0
u 38358 -17
u 27407 -13
u 1778 -14
u 55255 -17
u 56246 2
u 9822 -10
u 9458 -18
u 63839 -13
u 41091 4
u 6763 -1
u 15037 -6
u 22666 -4
u 23087 -9
u 9956 -3
u 57408 0
u 58860 -1
u 38553 -7
u 40247 4
