65536
161792 100352
u 11085 8
u 4770 4
u 13987 -19
u 58444 -10
u 50925 17
u 29953 -19
u 32144 -18
u 65185 -10
u 37899 -12
u 26113 6
u 17770 10
u 37219 -10
u 45083 -8
u 54827 -6
u 1933 0
u 15995 -12
u 14444 -7
u 53574 -2
u 21759 8
u 43245 -15
u 43058 -15
u 7152 -14
u 10085 -15
u 25853 9
u 18594 11
u 26047 2
u 36219 18
u 51470 -10
u 17208 4
u 37958 -8
u 8609 12
u 32160 -5
u 9183 -7
u 51486 -1
u 1146 -2
u 38092 6
u 36858 7
u 53870 8
u 52046 -11
u 29392 -16
u 619 13
u 41470 2
u 53170 -3
u 52607 -17
u 2630 -4
u 23984 -13
u 13447 14
u 34293 -6
u 10808 -7
u 53575 -12
u 49439 -4
u 56158 -7
u 5840 7
u 2169 15
u 58682 0
u 62992 16
u 21465 3
u 30606 -14
u 795 -9
u 13943 -17
u 42707 3
u 14665 14
u 28536 9
u 13251 4
u 3666 -19
u 51299 12
u 27422 5
u 8332 0
u 20880 -13
u 25614 -11
u 42064 -5
u 7793 18
u 61997 3
u 7094 18
u 56077 -7
u 682 0
u 58965 -10
u 23868 -6
u 64306 2
u 61311 -18
u 38409 8
u 55544 -19
u 23462 18
u 33558 7
u 8842 16
u 58370 11
u 16707 -19
u 48900 -11
u 39028 14
u 10426 -1
u 11496 -13
u 62818 -16
u 26457 -7
u 26892 -4
u 58270 -6
u 27665 0
u 4207 -9
u 31440 -3
u 16013 19
u 6477 -4
u 58635 19
u 10226 -14
u 65476 16
u 22976 3
u 49586 0
u 3001 17
u 44512 -19
u 473 -16
u 21434 -3
u 30661 -11
u 50035 15
u 45313 13
u 10463 -13
u 16377 -3
u 10680 -6
u 51333 -17
u 22166 17
u 13588 -6
u 55151 2
u 61074 3
u 4432 19
u 34749 9
u 64360 1
u 54378 -7
u 62590 -8
u 34428 8
u 12293 -11
u 35796 -6
u 25423 11
u 49234 2
u 9492 1
u 39884 0
u 31056 12
u 53764 -7
u 24501 10
u 59874 -2
u 47844 -2
u 12342 8
u 64312 -19
u 1392 17
u 20687 1
u 42920 0
u 50027 -11
u 55738 -13
u 65355 4
u 46019 -14
u 8933 -7
u 40969 4
u 8305 -2
u 60663 0
u 12966 13
u 61740 17
u 18554 -14
u 41943 -9
u 9731 6
u 13162 -1
u 13621 14
u 63400 18
u 3728 12
u 8029 -17
u 27504 12
u 12859 2
u 8881 12
u 10893 -9
u 17491 -16
u 49992 -1
u 61022 8
u 25731 -11
u 54744 -18
u 31372 19
u 45475 7
u 29359 16
u 35082 -3
u 57211 3
u 15291 19
u 42359 6
u 53753 13
u 13699 18
u 43510 -4
u 14284 17
u 30613 19
u 25923 -4
u 44938 11
u 40140 0
u 53794 -16
u 33087 0
u 50510 18
u 27295 -7
u 24136 -8
u 58867 4
u 18675 1
u 16688 -15
u 25372 -1
u 3991 -17
u 54980 -8
u 64349 -7
u 17017 -4
u 46157 17
u 10856 -7
u 30567 19
u 26737 18
u 32848 -12
u 60567 16
u 31769 -8
u 13579 -4
u 58595 0
u 60791 -14
u 39148 -7
u 40136 6
u 23976 -1
u 61415 -6
u 49639 -12
u 47527 -1
u 9316 15
u 51022 4
u 57498 -12
u 38004 -4
u 23936 0
u 19419 13
u 52203 0
u 15270 7
u 65254 -13
u 55011 3
u 31154 -1
u 16470 13
u 59192 -12
u 12385 6
u 25245 16
u 8020 1
u 52760 16
u 8911 7
u 5730 8
u 3997 -1
u 14415 -5
u 19835 -19
u 56416 1
u 46345 14
u 45632 1
u 29465 -13
u 65432 8
u 846 16
u 58285 -11
u 36847 -9
u 7608 7
u 52557 16
u 38374 17
u 39555 6
u 42848 6
u 8234 14
u 1434 -2
u 58346 15
u 63176 3
u 48450 6
u 9441 -12
u 54524 -14
u 58316 13
u 2889 11
u 3065 4
