65536
130048 132096
u 3920 13
u 53278 6
u 16984 -18
u 62628 -5
u 24195 -19
u 5909 -7
u 55772 19
u 46638 0
u 60798 -18
u 34663 -13
u 26283 -12
u 43561 -6
u 35394 -9
u 46270 19
u 47458 -7
u 58755 11
u 9978 8
u 28831 -3
u 49232 -4
u 50841 -15
u 26737 14
u 28122 -9
u 55304 -14
u 50794 10
u 11347 -7
u 61778 2
u 31503 4
u 59800 -19
u 57105 4
u 244 3
u 61683 16
u 24871 -16
u 39962 12
u 33087 -5
u 14089 -8
u 31551 4
u 9608 16
u 57800 19
u 3362 6
u 49944 -11
u 62981 8
u 52340 -2
u 20455 8
u 30310 -12
u 21603 -1
u 51053 -9
u 24019 -13
u 23876 19
u 64091 14
u 22104 -12
u 9821 12
u 53472 -8
u 47792 7
u 18807 11
u 23260 -18
u 328 -7
u 49402 12
u 49654 -17
u 33737 -11
u 16346 13
u 44984 -18
u 7555 -17
u 12253 0
u 1913 -13
u 22859 -5
u 23454 0
u 12137 -13
u 52111 16
u 57128 -16
u 45549 -10
u 8598 8
u 35558 15
u 33010 -7
u 62322 -19
u 34105 -11
u 56553 -11
u 14997 19
u 17021 -3
u 30003 -8
u 38060 12
u 42952 17
u 20006 13
u 7370 -15
u 49484 19
u 11964 -1
u 13814 -7
u 9839 10
u 13027 6
u 3513 -14
u 44062 2
u 22946 1
u 51173 3
u 33651 -18
u 65194 18
u 21594 3
u 50981 19
u 33697 -16
u 54100 5
u 12034 3
u 40030 -5
u 2009 12
u 44561 -12
u 37682 15
u 54699 5
u 1865 0
u 13279 -4
u 2769 19
u 62754 2
u 1576 18
u 34540 -5
u 34596 -7
u 22181 -18
u 25438 -13
u 43826 2
u 48794 -8
u 61471 11
u 6631 4
u 62653 7
u 32548 11
u 19974 1
u 19506 0
u 59225 -6
u 32170 14
u 58698 0
u 53322 -3
u 56917 -6
u 47688 -11
u 25141 -15
u 24308 -17
u 45063 -15
u 21754 5
u 58370 -2
u 15959 13
u 7163 9
u 41768 -3
u 17386 17
u 60390 -13
u 18015 -3
u 1985 -13
u 60772 13
u 38880 11
u 12154 -7
u 181 2
u 28623 -5
u 40728 -15
u 32056 18
u 49150 -4
u 25331 19
u 14842 0
u 48081 14
u 59631 19
u 52349 13
u 11008 -17
u 15976 -12
u 16006 -13
u 2764 13
u 63367 -10
u 10383 18
u 52215 3
u 22503 -3
u 47158 13
u 24354 -1
u 13915 10
u 30346 -2
u 16645 -12
u 19833 -13
u 12824 -15
u 65227 -5
u 11476 -10
u 36826 -3
u 26881 4
u 16833 -4
u 54511 -3
u 22727 5
u 688 7
u 3062 9
u 34255 -3
u 13084 9
u 11567 6
u 11393 -2
u 56324 0
u 38954 -17
u 37874 3
u 27446 10
u 54314 19
u 11298 -10
u 38329 -2
u 40373 -3
u 55348 18
u 2959 14
u 42795 -16
u 38348 -12
u 33439 11
u 59685 7
u 29328 -16
u 7685 -7
u 36770 8
u 23730 -14
u 19749 11
u 58460 -14
u 49914 -17
u 24188 -6
u 32354 19
u 50012 -6
u 62126 12
u 12668 4
u 58994 11
u 50899 -3
u 36914 7
u 6369 -19
u 50592 -11
u 20824 -6
u 60694 7
u 30935 -10
u 30195 -5
u 23437 -11
u 28082 9
u 37281 16
u 46651 -6
u 17068 6
u 9193 -1
u 17091 -18
u 15217 -18
u 29549 11
u 47504 1
u 52839 0
u 49974 -15
u 54386 7
u 52681 -7
u 60041 -9
u 43645 -9
u 31914 -16
u 32 -17
u 1092 8
u 25417 -8
u 24389 1
u 47897 5
u 37262 18
u 43935 -19
u 49711 -4
u 37194 2
u 58464 -6
u 45142 8
u 1230 0
u 1565 17
u 49629 7
u 13678 -10
u 51402 -11
u 19668 12
u 60394 7
u 5120 -8
u 14160 12
u 60728 11
u 50597 3
u 52698 1
u 65032 -5
u 6252 15
u 45989 11
u 39740 8
u 18146 5
u 42956 -18
u 20980 14
u 18247 -15
u 4810 3
