65536
121856 140288
q 16198 23661
q 8140 24302
q 1405 27936
q 52634 53162
q 2767 38190
q 915 57617
q 16968 26436
q 57835 63024
q 34933 37418
q 20661 48460
q 51745 54161
q 40705 43578
q 56577 60763
q 13766 16895
q 15463 46993
q 5119 31991
q 31661 56294
q 13259 33067
q 885 18694
q 20165 21462
q 12247 39075
q 22377 56044
q 14676 38683
q 8080 53532
q 8658 52094
q 40720 56541
q 31710 60403
q 18762 51445
q 26938 35657
q 8396 65211
q 31667 51121
q 13515 17247
q 22425 26774
q 41120 50314
q 4944 27660
q 1200 62582
q 17191 19424
q 55874 57244
q 34100 45240
q 20659 63955
q 53899 54961
q 48766 61379
q 14606 21136
q 34676 48074
q 34351 50264
q 35849 56470
q 483 4449
q 22909 53096
q 31224 37874
q 58884 64029
q 42818 61075
q 60010 60084
q 14963 51792
q 49064 50349
q 31497 48768
q 4188 19860
q 32 38193
q 3091 59329
q 14638 37767
q 41868 64902
q 6583 32802
q 7066 35216
q 22777 37252
q 2940 29975
q 28468 60651
q 37934 61824
q 24008 56372
q 32408 38972
q 17221 42629
q 8591 22501
q 454 26689
q 28451 38648
q 26721 31543
q 32442 41360
q 3774 8774
q 10358 40727
q 10407 41577
q 13293 17424
q 33184 47400
q 16233 28300
q 10333 12521
q 698 34341
q 3358 33107
q 7778 45988
q 30279 50329
q 50784 54579
q 17494 56969
q 18155 23896
q 49038 56338
q 52812 59515
q 34706 65113
q 41154 63170
q 15059 45114
q 12762 54447
q 5144 62459
q 7256 41063
q 17666 41762
q 21024 41598
q 9333 49376
q 1476 59663
q 14120 56055
q 5554 44911
q 3271 8014
q 23709 57052
q 17688 59610
q 44329 59188
q 41964 52394
q 31972 34806
q 23718 57023
q 44735 53947
q 20262 28863
q 46529 61203
q 37266 62024
q 2018 5822
q 3494 21106
q 35227 65485
q 44861 59550
q 2029 40781
q 48133 64490
q 42208 59082
q 16643 37876
q 3501 35860
q 5131 14304
q 5792 35474
q 14674 28849
q 57712 59739
q 34936 55407
q 31425 38706
q 27137 40724
q 37247 48244
q 37197 44219
q 17935 38233
q 16522 58717
q 40263 64656
q 33810 57672
q 8779 41328
q 6150 11652
q 12281 20454
q 16783 47755
q 26247 45633
q 20450 62429
q 31830 37810
q 10321 10980
q 37459 63255
q 34967 51704
q 20167 30387
q 6629 38103
q 3085 23151
q 31284 43348
q 22271 23421
q 11623 63600
q 17773 32200
q 9716 44481
q 26500 38228
q 26701 64475
q 6598 23595
q 19390 44408
q 29712 55425
q 53145 55389
q 1635 41557
q 21802 22576
q 6409 29206
q 9494 59906
q 25654 52358
q 9093 52843
