65536
136192 125952
q 1457 29541
q 13722 57314
q 1541 6464
q 47067 58747
q 10695 35833
q 34816 59145
q 7953 60569
q 20785 21844
q 26640 39304
q 9607 22237
q 9570 40461
q 16900 52006
q 32536 44449
q 37131 62497
q 52759 54763
q 18769 21343
q 13122 54217
q 32492 60682
q 14663 25703
q 25359 42213
q 35822 61536
q 56570 60175
q 16484 43775
q 11819 17544
q 21426 43125
q 18051 39782
q 26252 30997
q 34951 63533
q 5165 6547
q 59929 60494
q 16302 59307
q 13163 47988
q 29424 45655
q 43134 44088
q 5822 19811
q 1822 3911
q 55634 64087
q 33874 58392
q 4676 15036
q 51418 58161
q 25664 26103
q 10676 57100
q 45628 51917
q 55098 57083
q 50057 52175
q 45946 51477
q 823 64640
q 28398 30247
q 5997 44760
q 8800 50582
q 12711 25808
q 15906 52405
q 11263 45262
q 26299 49780
q 35663 49938
q 10506 18925
q 29602 61328
q 2071 47710
q 9694 57169
q 39257 61870
q 25199 41690
q 42280 42513
q 5143 24303
q 3528 7225
q 11140 16025
q 36948 54110
q 28737 40980
q 40001 52855
q 20706 37100
q 765 5109
q 7228 19690
q 3021 15615
q 17687 49293
q 50731 58987
q 9320 24453
q 51011 55321
q 32066 49652
q 8420 27989
q 35214 37209
q 11948 48349
q 523 51240
q 14442 19762
q 7082 41503
q 54444 62210
q 44183 55209
q 1783 51412
q 9364 17399
q 54433 58657
q 35087 39628
q 44407 52109
q 41895 64081
q 29882 48198
q 8425 57871
q 45634 56618
q 3031 27550
q 13255 28448
q 3554 48211
q 27698 45058
q 16606 55294
q 33942 41732
q 6279 43516
q 15644 19818
q 8715 60916
q 8765 30467
q 48343 60874
q 9339 46889
q 37233 39222
q 29551 45659
q 20634 31558
q 25758 59108
q 23665 54207
q 6828 27219
q 34526 36882
q 6742 26641
q 48475 51132
q 57412 60583
q 14866 26455
q 7521 21836
q 16286 23581
q 6389 52303
q 11625 61643
q 48859 53278
q 17294 35329
q 1351 28982
q 37928 54740
q 60460 61593
q 1752 43411
q 14758 23277
q 30019 36279
q 21876 41400
q 12958 36448
q 13753 39414
q 21274 51314
q 9359 61250
q 37561 48018
q 15748 49186
q 3491 44125
q 13918 32509
q 20785 61491
q 15270 58714
q 10194 50696
q 28571 54771
q 11947 12513
q 43330 48227
q 19194 42532
q 4568 55491
q 18321 55642
q 29369 41420
q 25084 39596
q 11621 50780
q 993 7567
q 51692 60807
q 4484 27781
q 75 25270
q 15345 23737
q 8897 18448
q 7684 25540
q 37468 37488
q 15262 20197
q 20179 62730
q 24747 34457
q 24563 52686
q 16520 43069
q 447 17129
q 41605 51228
q 28750 49172
q 24022 52221
q 35328 56706
q 35403 51803
q 10004 16440
q 34889 50749
q 10754 18901
q 42574 56370
q 48242 62772
q 2886 6097
q 40554 59967
q 27634 47117
q 5167 65118
q 30 63638
q 22297 39707
q 51047 51258
q 23343 37943
q 9534 58671
q 29113 61337
q 28539 45554
q 5805 13753
q 14908 24707
q 24507 57482
q 7213 15542
q 21639 54719
q 10099 49150
q 37733 62194
q 30732 61777
q 28834 42901
q 61807 65198
q 3005 47529
q 26348 50710
q 19937 60244
q 19484 49050
q 48023 56045
q 29069 61851
q 43977 61777
q 20748 21023
q 35924 36565
q 25107 27962
q 38062 58205
q 8721 54864
q 10260 39454
q 51105 53161
q 2752 47376
q 5757 52824
q 29370 37998
q 32106 49307
q 32706 51590
q 23215 32821
q 34078 61890
q 19531 30319
q 40332 40554
q 10720 51068
q 11584 13495
q 4253 35827
q 44549 51557
q 59117 61817
q 18467 44687
q 21220 49443
q 26527 36731
q 26978 55897
q 9193 59084
q 39668 41900
q 6954 45139
q 13681 65116
q 3309 19111
q 43641 44001
q 29534 59666
q 5714 54361
q 24653 43029
q 9967 29050
q 3549 3666
q 22134 25332
q 9239 48236
q 9228 43355
q 4797 45971
q 55165 65126
q 39259 63882
q 31529 43485
q 31109 46213
q 49523 57167
q 35633 50221
q 27629 44351
q 16455 65167
q 42660 50065
q 41108 60033
q 6175 44775
q 31508 63583
q 1374 46284
q 40748 44729
q 21183 55512
q 49526 55102
q 10812 47872
q 28826 42342
q 9504 25822
q 7915 17453
q 58136 59027
q 21120 53086
q 36952 52718
q 21481 37576
q 13148 29842
q 15979 36018
q 14026 57924
q 1990 59298
q 42738 60310
q 38492 50287
q 22482 63922
q 9199 39854
q 3144 4819
q 30642 51541
q 12648 59457
q 6140 48095
q 35646 52058
q 23474 27261
q 22828 64837
q 44956 52671
q 12449 60935
q 4838 23154
q 9425 25144
q 4200 64136
q 2347 37092
q 734 54487
q 28805 59575
q 9933 64395
q 31949 61475
q 29502 44597
q 12062 55396
q 41918 50738
q 12463 47708
q 5001 65393
q 11764 44813
q 24214 57673
q 15291 40212
q 29052 49638
q 27653 40436
q 42784 53838
q 42789 64746
q 43518 58786
q 6058 53451
q 38008 57646
q 21612 49390
q 17070 39251
q 2272 33674
q 15634 15847
q 14735 15491
q 20849 26499
q 12986 60305
q 34982 50714
q 14230 28278
q 3178 19084
q 7387 41884
q 41094 45962
q 23945 50177
q 34344 56236
q 11860 26454
q 28708 61251
q 45779 48067
q 16205 34966
q 48051 50600
q 32053 62787
q 555 52902
q 23751 60861
q 353 8929
q 28631 30307
q 23159 49392
q 31810 65043
q 12237 56779
q 40602 41421
q 9410 36182
q 32121 48043
q 35865 60830
q 18396 43758
q 13188 41073
q 23589 34602
q 1120 63788
q 20840 64344
q 44591 54022
q 54375 59669
q 24441 53520
q 11144 17471
q 8297 49281
q 10652 65077
q 51254 61519
q 32165 40962
q 7548 60665
q 14672 30995
q 2843 58430
q 43916 49392
q 6083 18458
q 1970 4335
q 19578 22810
q 3144 8065
q 1866 62814
q 55386 62441
q 14376 21719
q 995 30016
q 11647 63658
q 29557 59641
q 4984 62902
q 26270 58032
q 12532 40943
q 15376 23491
q 7347 33838
q 39921 59292
q 25806 61263
q 44257 45385
q 18537 47402
q 20403 53451
q 44680 50356
q 863 10254
q 11249 64733
q 30880 62855
q 22897 60438
q 20264 56960
q 17695 65422
q 12419 12760
q 36252 58639
q 26942 27795
q 21552 43600
q 1328 3871
q 17279 45585
q 35817 49257
q 27452 37172
q 6596 56220
q 939 21993
q 7460 21190
q 12189 38340
q 18509 35086
q 9934 33242
q 33129 55350
q 2575 27630
q 20734 45548
q 7808 38827
q 16891 47676
q 29360 49004
q 20763 46639
q 4484 29054
q 16921 56506
q 7605 41656
q 63103 63649
q 5027 8545
q 19304 20734
q 37813 43368
q 11074 55821
q 45636 47748
q 9843 44203
q 24216 48211
q 21503 30577
q 12717 32024
q 38395 61384
q 59158 61722
q 25240 42488
q 59409 63642
q 16211 39762
q 1479 13778
q 10024 37876
q 18805 57180
q 30759 62173
q 21044 29458
q 7712 11671
q 1144 51915
q 21514 49356
q 10596 52092
q 5323 42620
q 43718 64810
q 38468 60996
q 15421 37340
q 20700 35447
q 9295 36912
q 9673 10774
q 47550 50690
q 3960 20799
q 39194 51558
q 597 3116
q 7067 8310
q 8211 14787
q 36302 60226
q 5286 57567
q 22858 62891
q 22132 47906
q 20839 41073
q 12878 17593
q 36260 38294
q 45555 48325
q 9670 57999
q 56330 60360
q 11594 40013
q 13671 64320
q 63152 64918
q 4683 16788
q 7693 31576
q 2383 12895
q 2343 4927
q 7669 25201
q 2282 55576
q 43355 47334
q 10879 64928
q 47140 56234
q 37686 39023
q 27160 47356
q 17954 31486
q 5964 42181
q 29548 40966
q 19635 27165
q 36424 40348
q 31849 48041
q 2465 44744
q 4808 50425
q 49671 58094
q 30010 51953
q 11809 48134
q 29773 59014
q 11201 20471
q 40618 48887
q 2242 59495
q 25445 30708
q 7353 20197
q 31409 49746
q 48319 51045
q 11375 23132
q 21934 43225
q 5638 24399
q 22433 56063
q 6569 29208
q 48622 59218
q 31221 58523
q 5491 22760
q 16692 24699
q 43232 65317
q 44 37191
q 2024 30752
q 22222 62637
q 28511 38105
q 6432 20889
q 14021 17808
q 35955 44021
q 49659 61033
q 17931 60355
q 24027 40186
q 23273 24501
q 17488 17710
q 23201 54494
q 13657 40249
q 17945 39894
q 13439 39938
q 15464 55137
q 5154 52238
q 37686 43260
q 15214 44119
q 29235 64149
q 42634 61928
q 57426 65191
q 26758 60010
q 1409 9821
q 18502 34323
q 24682 36212
q 13640 51811
q 26525 59414
q 27298 33772
q 40737 44471
q 8175 34072
q 13329 56201
q 20775 28352
q 35989 56590
q 6936 55203
q 3328 65224
q 32302 64879
q 59060 60754
q 5040 59354
q 12321 60469
q 19616 39363
q 25639 48534
q 33256 42412
q 52164 60554
q 10649 31099
q 18824 35756
q 26422 65172
