262144
229376 32768
u 111921 -19
u 160723 0
u 65335 16
u 245206 -17
u 260612 0
u 16715 10
u 99837 1
u 64907 0
u 186303 16
u 68652 -9
u 50952 -1
u 136635 7
u 33489 -13
u 42385 -2
u 226763 19
u 204187 -8
u 260525 -4
u 206163 -10
u 78677 8
u 83311 -8
u 57607 -4
u 15955 4
u 238784 -7
u 23788 4
u 56379 -5
u 234770 -3
u 212957 -3
u 25705 17
u 152887 -9
u 99579 -2
u 62278 -13
u 194047 -10
u 144389 1
u 124377 14
u 65149 11
u 38069 -1
u 45571 -11
u 18057 -16
u 134888 -13
u 185156 9
u 134286 4
u 36456 -7
u 4901 -10
u 69403 4
u 130252 5
u 13150 9
u 210604 11
u 253190 -5
u 83122 -2
u 53772 2
u 60968 -5
u 8884 -3
u 145867 -15
u 128752 -17
u 68788 -12
u 209879 10
u 209547 17
u 26030 12
u 46353 -5
u 110093 6
u 2271 -1
u 106993 12
u 68298 -5
u 43581 3
u 213464 -5
u 37548 -18
u 189195 -12
u 118829 -8
u 73376 17
u 91530 1
u 37203 -14
u 83095 17
u 23457 -3
u 199056 -9
u 204559 -12
u 246417 11
u 170250 -6
u 157562 16
u 189308 10
u 127826 1
u 36354 5
u 152917 14
u 211808 -18
u 36324 -16
u 257186 0
u 165206 -15
u 167120 17
u 16853 9
u 95283 12
u 260389 -14
u 771 17
u 244529 6
u 73787 1
u 147427 -19
u 78948 -17
u 141579 -2
u 178484 -15
u 78708 0
u 41957 -2
u 151190 -14
u 242887 -11
u 69246 2
u 40410 -6
u 76298 0
u 39866 -8
u 173393 -13
u 57063 3
u 211660 0
u 33583 -5
u 131802 -2
u 110053 -18
u 227834 -15
u 43592 -13
u 154543 -6
u 159432 -13
u 122550 1
u 97843 9
u 25895 1
u 15752 -4
u 11804 -11
u 176738 8
u 96256 15
u 78832 -13
u 102509 -2
u 142716 15
u 224947 18
u 245549 9
u 17020 -15
u 235037 6
u 112547 0
u 215154 15
u 10357 -12
u 164750 -14
u 189108 7
u 138447 10
u 236121 -11
u 123966 -9
u 24699 10
u 116006 0
u 53070 19
u 99376 -17
u 249348 -7
u 206512 -19
u 109779 7
u 175788 13
u 49587 0
u 195281 -10
u 179652 -5
u 96198 -3
u 16246 15
u 45385 18
u 25542 5
u 60456 -12
u 110006 6
u 177451 4
u 173041 -17
u 178950 4
u 97465 -1
u 164471 11
u 40580 -8
u 167428 -6
u 206914 -4
u 150113 -1
u 198453 17
u 231040 12
u 218813 -17
u 204923 17
u 183633 -19
u 32455 -15
u 179699 12
u 194572 -6
u 224589 -3
u 250844 -10
u 234697 3
u 5011 -17
u 231287 6
u 103302 6
u 10862 18
u 38337 11
u 237584 -18
u 161872 9
u 21514 -4
u 176467 11
u 107888 11
u 236643 -16
u 156685 5
u 116041 -1
u 18307 -4
u 179041 18
u 257913 8
u 3994 14
u 94349 -3
u 140970 -3
u 98570 7
u 52383 -8
u 186540 12
u 6121 11
u 56765 7
u 151059 5
u 129368 0
u 190098 -16
u 32487 -13
u 143040 -12
u 148737 -10
u 41655 2
u 243990 -13
u 109419 -8
u 152947 18
u 181406 18
u 167552 15
u 63385 -5
u 185903 -9
u 37859 17
u 252096 8
u 145178 -1
u 52334 -8
u 143230 -7
u 117128 -16
u 135616 -19
u 84063 7
u 148228 -9
u 222922 19
u 142105 -2
u 245892 -10
u 103100 3
u 33014 5
u 243250 13
u 235992 -17
u 199442 14
u 207885 -7
u 83121 19
u 155609 14
u 82897 -18
u 250477 13
u 14314 -8
u 133641 4
u 138306 -5
u 158045 -17
u 208146 1
u 79635 -12
u 30951 -2
u 215588 -18
u 69424 8
u 31023 -18
u 153237 16
u 89199 16
u 236984 17
u 200565 -11
u 255402 8
u 14107 -18
u 261295 2
u 170115 0
u 242169 -9
u 155726 8
u 207812 15
u 237275 16
u 85868 9
u 250821 3
u 118012 -16
u 162016 -18
u 258610 18
u 245464 15
u 233881 8
u 29044 14
u 110641 -13
u 234712 -3
u 190901 1
u 247252 6
u 208702 1
u 96955 3
u 114053 -9
u 130990 10
u 662 -1
u 93071 -1
u 139370 18
u 127780 0
u 244160 -3
u 107144 12
u 32844 0
u 180893 1
u 179341 3
u 253279 -3
u 34003 16
u 16882 17
u 117079 -2
u 134932 15
u 185924 -19
u 168910 8
u 123448 19
u 43116 -19
u 254926 6
u 136511 16
u 19855 17
u 190695 -11
u 117700 -3
u 196185 -14
u 763 8
u 142997 -14
u 163565 4
u 15328 -17
u 11573 2
u 249633 10
u 154040 3
u 121940 -17
u 156238 5
u 16018 2
u 73810 3
u 123819 -5
u 134040 -12
u 146366 18
u 161815 -7
u 24494 4
u 5586 5
u 197346 5
u 65227 12
u 187652 -8
u 100791 6
u 12155 18
u 69398 0
u 8031 14
u 37008 -16
u 112514 -3
u 176579 16
u 204486 -12
u 26560 -6
u 38073 8
u 169117 -10
u 88812 6
u 230060 -16
u 81711 -14
u 236688 -18
u 109945 -8
u 182362 -1
u 68022 18
u 256196 -8
u 215255 -15
u 100103 -9
u 141881 -17
u 39815 -7
u 63015 -9
u 172932 -4
u 254753 -7
u 163656 -7
u 254609 0
u 105435 -8
u 164716 -7
u 81396 -18
u 155315 -19
u 134619 14
u 253375 0
u 37248 11
u 159734 0
u 9968 -13
u 151891 -12
u 123696 12
u 116160 -14
u 53850 -3
u 114391 13
u 190191 -3
u 86935 -14
u 181032 18
u 113463 -19
u 2027 -18
u 1898 0
u 229973 18
u 3175 -19
u 199616 4
u 142430 11
u 202382 -15
u 259369 -10
u 247084 -2
u 98419 -14
u 222155 12
u 256298 2
u 57522 -7
u 183686 16
u 70598 -14
u 238839 -8
u 41640 16
u 209273 -18
u 233868 12
u 14549 6
u 113215 3
u 118782 -11
u 189158 -2
u 117388 6
u 229392 12
u 212890 8
u 166474 11
u 77463 14
u 25990 19
u 200409 -5
u 34011 7
u 169216 -8
u 155699 -2
u 85123 0
u 66650 -4
u 36621 7
u 256652 3
u 233319 8
u 9266 -6
u 95622 16
u 42227 -12
u 165920 11
u 253413 17
u 170556 -17
u 242389 -3
u 113849 -17
u 23783 -16
u 89908 7
u 137266 6
u 44763 11
u 12560 -7
u 121638 -18
u 236788 -5
u 190736 17
u 181377 -16
u 222570 14
u 70582 0
u 170163 -10
u 107586 -8
u 79111 -6
u 187397 9
u 102087 12
u 213883 9
u 128519 -6
u 104883 6
u 30779 -2
u 254667 3
u 124512 14
u 245231 -11
u 213222 5
u 77319 6
u 125925 2
u 37851 -14
u 209754 2
u 112520 -15
u 233268 -14
u 219684 -8
u 248955 6
u 3063 -2
u 260429 -3
u 26469 -15
u 225390 -17
u 181483 -6
u 248303 5
u 140864 10
u 66891 13
u 110886 9
u 103943 2
u 226760 -12
u 32030 -8
u 78276 -19
u 114911 -14
u 76366 -4
u 207239 -7
u 217053 11
u 187377 17
u 234591 2
u 370 3
u 238383 17
u 56357 -2
u 185911 -1
u 73144 -14
u 53920 7
u 183391 -17
u 228641 12
u 95675 -13
u 218577 12
u 80590 -14
u 50165 -16
u 112230 -19
u 231212 -14
u 248597 11
u 188088 17
u 95445 5
u 235497 3
u 19288 4
u 12907 -5
u 193919 -9
u 7377 -2
u 85365 16
u 68444 7
u 18648 -16
u 129483 -4
u 57677 7
u 124924 5
u 184724 -5
u 207371 6
u 35508 0
u 158002 0
u 35499 0
u 20612 -11
u 28477 -14
u 147220 13
u 100348 3
u 75418 8
u 128472 1
u 104611 2
u 168740 15
u 246359 14
u 151600 -3
u 134180 -8
u 203133 -7
u 245359 16
u 212723 1
u 107451 17
u 10429 0
u 40866 -14
u 161584 8
u 261303 19
u 80540 -8
u 185502 11
u 218440 -15
u 93989 0
u 262065 -8
u 89310 3
u 187345 14
u 225703 0
u 40755 11
u 104831 18
u 87992 12
u 239557 -4
u 78202 -17
u 137327 16
u 206366 0
u 239575 -16
u 211064 4
u 233775 5
u 190904 -9
u 30254 9
u 143825 -1
u 80204 -9
u 80912 -13
u 197361 -1
u 252682 -13
u 113002 -8
u 252332 -6
u 176951 -9
u 108695 -12
u 46033 -11
u 188622 -16
u 77681 0
u 186399 -12
u 42761 -2
u 114933 -8
u 43841 19
u 192580 -1
u 65643 -18
u 167809 -19
u 133016 4
u 40910 17
u 236878 -15
u 74291 3
u 99489 7
u 203821 2
u 235905 0
u 168988 -12
u 5700 -5
u 100755 -12
u 208404 12
u 121477 18
u 212305 -12
u 114147 -17
u 63263 -16
u 16665 9
u 178161 -11
u 180154 3
u 88674 18
u 42437 8
u 175288 17
u 71543 2
u 114415 16
u 200493 -1
u 71632 -14
u 168577 -17
u 254794 -15
u 7994 11
u 79826 -1
u 220760 1
u 141956 16
u 77224 -11
u 32857 19
u 210868 -1
u 249681 18
u 47551 4
u 237421 -1
u 49732 -6
u 97483 18
u 209809 5
u 27187 -2
u 187008 -16
u 144154 9
u 224793 14
u 55001 7
u 104926 10
u 158691 7
u 254931 9
u 177386 11
u 50936 5
u 194818 -4
u 65605 5
u 217583 -2
u 259788 -11
u 103420 11
u 222037 0
u 61553 2
u 150445 11
u 79760 -2
u 167544 0
u 34361 -18
u 69576 9
u 192478 -10
u 122458 -3
u 3875 6
u 10500 10
u 9739 -8
u 106644 14
u 191444 -4
u 18101 -15
u 49599 16
u 163329 -3
u 124897 -12
u 54716 11
u 164726 13
u 77276 10
u 232588 2
u 129997 4
u 209216 18
u 8499 12
u 163707 -17
u 149640 6
u 95106 19
u 138626 -16
u 98430 3
u 57128 2
u 134723 13
u 259182 19
u 9944 -12
u 202134 6
u 11872 -17
u 111614 17
u 164120 16
u 145240 -3
u 231923 3
u 62140 0
u 172739 12
u 44791 -19
u 205923 7
u 30109 -13
u 78002 -6
u 190240 12
u 45551 8
u 210202 -11
u 239033 2
u 230166 18
u 167460 -7
u 233223 -9
u 59104 -2
u 180629 -15
u 7915 17
u 162371 7
u 192408 11
u 186357 0
u 128437 13
u 178397 11
u 41561 -3
u 157021 -6
u 31628 -3
u 142609 -18
u 255272 -3
u 259424 4
u 190269 15
u 230025 18
u 84678 2
u 16114 -5
u 129137 7
u 11104 -10
u 123505 10
u 195589 18
u 151785 -2
u 196238 9
u 218336 -6
u 18315 18
u 196195 4
u 258483 8
u 9412 19
u 87769 10
u 224122 -11
u 186911 -12
u 204162 10
u 139251 -9
u 119368 2
u 130558 17
u 85675 -10
u 232673 16
u 175846 5
u 168662 0
u 257883 8
u 119860 9
u 85757 -2
u 119115 -5
u 109819 11
u 32708 -9
u 391 13
u 118456 11
u 160502 19
u 13565 -17
u 145920 1
u 260601 15
u 208127 15
u 206912 -1
u 135755 -2
u 253869 0
u 38264 -2
u 61286 -1
u 227785 7
u 219192 -8
u 125142 18
u 147259 0
u 209376 -19
u 67944 -3
u 261279 -7
u 125462 2
u 225633 -1
u 114508 6
u 92907 -10
u 31301 14
