262144
208896 53248
q 19805 181848
q 5707 178588
q 45488 166823
q 89985 181895
q 51676 182481
q 81996 210856
q 98195 111934
q 35463 250189
q 75717 134124
q 134904 193901
q 78928 140373
q 80602 122001
q 62271 101544
q 158353 214673
q 45077 88293
q 217854 226925
q 108099 223562
q 143369 153587
q 128241 233354
q 73339 179918
q 153692 155335
q 3482 128630
q 116675 253530
q 38946 125511
q 173850 192392
q 9177 57269
q 52080 179270
q 89780 114351
q 18671 248133
q 63748 66881
q 22592 74283
q 28529 182382
q 171899 246154
q 73825 112252
q 143110 147165
q 30026 34658
q 40356 158657
q 31743 38140
q 13189 77086
q 157254 205582
q 214523 250937
q 40873 214759
q 42396 131650
q 150321 155225
q 28386 222106
q 102669 214069
q 242599 244698
q 22908 228709
q 96734 152355
q 33321 78818
q 108845 243899
q 22112 67979
q 5359 106119
q 18548 53855
q 183206 211110
q 171999 224131
q 163490 176746
q 32996 212872
q 105954 219143
q 183318 247529
q 65916 135244
q 48471 88055
q 110963 115699
q 5911 15037
q 93855 207697
q 39232 189453
q 107211 202701
q 208060 211565
q 3277 213331
q 134393 226608
q 188595 214387
q 44249 115734
q 103198 257122
q 60197 148731
q 69905 100932
q 45583 166849
q 133638 205149
q 58705 215320
q 230358 244602
q 64616 190156
q 62070 103848
q 2627 117465
q 66887 211060
q 162248 210687
q 70164 175152
q 22408 34498
q 78747 101603
q 138142 204802
q 24729 73725
q 2856 174658
q 48440 94635
q 37640 79363
q 32540 182078
q 96346 164537
q 754 160962
q 62825 92549
q 2667 210014
q 65452 213727
q 13995 14757
q 84922 113831
q 148330 189147
q 28607 107330
q 227077 245473
q 38659 233410
q 8059 236267
q 102694 213317
q 22563 30537
q 140335 204641
q 63078 236681
q 63832 107035
q 135499 199584
q 126657 138167
q 147454 192110
q 89751 162212
q 203583 206105
q 133109 247134
q 89769 92321
q 54702 161717
q 75650 132983
q 83709 93361
q 44535 107106
q 129669 186403
q 64594 75073
q 72167 138151
q 39132 179202
q 174631 201984
q 66497 116643
q 1953 50655
q 140406 258608
q 164166 202569
q 81845 149157
q 73535 171614
q 235252 241478
q 54984 226317
q 57535 106092
q 138694 213199
q 62954 102070
q 80725 177143
q 127549 152892
q 53151 166681
q 69951 255135
q 79169 186594
q 59489 129824
q 55953 188548
q 8086 90571
q 89932 258523
q 69914 239728
q 219062 261546
q 43023 225719
q 11902 149115
q 21111 150597
q 100171 123182
q 180896 213551
q 38181 78956
q 71645 91333
q 141596 245637
q 62662 84324
q 66047 143813
q 192486 254596
q 199766 200573
q 83023 196145
q 28361 60607
q 3916 27764
q 17526 46939
q 29428 253484
q 12451 196055
q 34082 180025
q 131433 135633
q 173815 214979
q 24480 210389
q 3004 193882
q 87328 166077
q 232124 256545
q 186888 231141
q 168764 224577
q 45456 125317
q 102765 153679
q 106064 106682
q 123590 181443
q 153622 172783
q 87533 153019
q 70901 185235
q 58724 121616
q 74451 202334
q 150580 232540
q 98931 235544
q 2864 82318
q 60729 76719
q 29726 234989
q 1463 197423
q 126781 198491
q 39113 242879
q 18316 86800
q 145795 199760
q 37273 210391
q 101267 110400
q 33491 124807
q 172168 246423
q 92216 112359
q 58731 62612
q 795 157663
q 36012 83114
q 96742 160528
q 133374 159833
q 126469 161297
q 62816 68653
q 25935 49389
q 44252 101929
q 136189 247725
q 84437 244012
q 22854 92269
q 147661 185704
q 95728 125760
q 131941 217977
q 190673 208088
q 18445 208883
q 54458 86193
q 29853 246721
q 151200 189687
q 15525 117951
q 88841 186604
q 78342 114776
q 180271 235993
q 110039 159029
q 140897 165852
q 188707 194476
q 118036 233166
q 74225 96783
q 206167 213765
q 52616 159709
q 71062 134696
q 106449 220889
q 125520 136303
q 14577 205467
q 61274 63847
q 30103 152689
q 108445 247879
q 5322 221728
q 26573 164351
q 69623 192426
q 1956 43105
q 14127 118989
q 119993 193214
q 71614 110911
q 137237 163528
q 9790 231324
q 75630 234590
q 97967 230679
q 174002 211934
q 13638 112545
q 142648 235277
q 166327 221012
q 171649 251094
q 15523 180596
q 73857 250220
q 116962 207949
q 64795 252177
q 110026 131089
q 242001 258010
q 133103 181641
q 143385 150821
q 115831 142893
q 111429 226452
q 176242 213799
q 23288 64200
q 189880 258566
q 94064 206848
q 195799 217434
q 3569 135887
q 77426 211322
q 123964 157128
q 113997 194388
q 63334 221924
q 217790 224024
q 43192 143521
q 88750 186577
q 32198 231644
q 40265 258651
q 80929 254064
q 104218 172749
q 56120 100486
q 825 100640
q 55931 194550
q 196624 198120
q 145803 191818
q 13402 53639
q 40788 207791
q 568 167636
q 8982 129516
q 52175 218358
q 10894 44965
q 43093 238752
q 14465 16874
q 39600 95395
q 8794 212350
q 64915 199613
q 38110 50692
q 65741 245242
q 221 94041
q 23716 181218
q 146025 194621
q 77355 186813
q 140269 244992
q 149252 187382
q 112365 143597
q 123260 201427
q 178036 188562
q 166353 203027
q 194910 205953
q 36278 203705
q 156159 235892
q 6477 206851
q 11858 72218
q 105900 189950
q 72440 109025
q 129617 218465
q 41502 206973
q 143135 181772
q 68373 189822
q 40044 68880
q 8164 211970
q 138388 163304
q 67513 186200
q 79271 118967
q 11323 115549
q 60529 167482
q 67006 89298
q 101156 112190
q 39996 139225
q 207057 211665
q 74531 149022
q 167987 190525
q 19360 48978
q 110153 209183
q 117351 179034
q 67177 249227
q 150388 187199
q 111256 205566
q 22693 217901
q 229225 230223
q 28609 138243
q 134563 227541
q 95616 246753
q 66554 234841
q 11468 24606
q 173629 184363
q 85999 90207
q 102010 105360
q 139186 212163
q 52400 256537
q 39484 129054
q 54109 61571
q 4994 189872
q 145630 165365
q 27687 133445
q 112711 165931
q 162054 247274
q 131329 257671
q 197883 231884
q 230369 256491
q 152589 209352
q 33207 167976
q 7842 242796
q 119838 138568
q 190968 220006
q 86917 114232
q 175804 230452
q 141026 158180
q 44248 180798
q 41667 208486
q 154378 177693
q 77604 112274
q 139509 243603
q 73131 109250
q 41357 179343
q 103598 126551
q 9430 193946
q 159758 174598
q 17273 36183
q 32293 237280
q 146525 227151
q 62053 195459
q 60186 203080
q 91496 240985
q 133163 247328
q 162878 187327
q 25398 37457
q 164907 240483
q 18917 51471
q 12013 198260
q 92828 115612
q 24630 62667
q 125043 222426
q 142317 199229
q 231522 258609
q 117453 223616
q 115904 179507
q 156932 176091
q 120444 248429
q 105629 154932
q 80115 119449
q 6364 144847
q 117573 246847
q 47610 136491
q 36175 59624
q 72607 129003
q 135275 175236
q 38135 153634
q 90719 95557
q 92022 180452
q 35762 60097
q 53495 176002
q 210428 215270
q 73570 89949
q 196713 244881
q 54018 179200
q 62853 185564
q 180427 198866
q 170268 246476
q 54774 206443
q 43957 127382
q 73302 219193
q 513 226936
q 96070 257329
q 55511 175638
q 115609 188093
q 211401 241589
q 29468 164527
q 119418 189873
q 124443 238098
q 102155 155154
q 165009 178462
q 78574 115184
q 83293 248842
q 99517 138067
q 143474 193141
q 3306 4300
q 3819 100524
q 95710 231237
q 24605 99889
q 9205 25839
q 140215 220606
q 5284 169683
q 122989 195158
q 26957 98943
q 57458 129113
q 235920 254098
q 31979 70528
q 88961 115272
q 57227 188479
q 250369 253340
q 69810 256646
q 170334 254670
q 223763 260465
q 3901 98211
q 13106 248368
q 124050 126439
q 129334 233712
q 33979 94558
q 60937 62349
q 119807 193501
q 185455 190051
q 93583 222030
q 182545 255984
q 51068 75158
q 66355 108880
q 39293 178690
q 31820 60857
q 59179 86881
q 90783 255583
q 157390 241808
q 19297 103889
q 75458 106103
q 140083 148632
q 170016 210981
q 101374 201020
q 68644 128927
q 24686 162228
q 18526 88814
q 82629 163973
q 69595 191510
q 108889 230328
q 29042 108057
q 140709 194939
q 88222 134148
q 23578 245613
q 113813 127468
q 2766 219916
q 151398 202926
q 97856 110799
q 36733 100236
q 168880 212173
q 165661 236860
q 68964 254475
q 151594 255387
q 62838 156304
q 80961 124489
q 171727 189018
q 50292 153531
q 121814 241753
q 145392 184441
q 36110 225222
q 10717 227989
q 213644 256027
q 91740 117244
q 62299 217480
q 12329 128473
q 31990 124216
q 193181 249189
q 24321 242432
q 82632 180626
q 43127 163593
q 42971 214854
q 90468 196503
q 3003 212282
q 176112 187445
q 95531 139191
q 106248 223556
q 105037 217440
q 57749 222281
q 47037 120049
q 175510 177617
q 39690 132378
q 119424 207501
q 231823 232872
q 53360 99713
q 142840 150305
q 193276 216953
q 45277 95551
q 98555 127635
q 41604 257560
q 23857 90947
q 180796 247413
q 23690 197196
q 202710 254945
q 245971 249747
q 112850 161445
q 163114 245229
q 108471 201136
q 102510 171864
q 78150 202223
q 225224 228456
q 82920 180034
q 159589 178472
q 25080 225311
q 14883 220728
q 38740 66685
q 49532 247482
q 24010 246728
q 9029 226721
q 239530 255000
q 90237 214324
q 115295 154302
q 73323 93295
q 175833 223767
q 3015 39773
q 115913 228239
q 6086 198833
q 146130 165675
q 109297 115161
q 130044 190756
q 67882 257441
q 117414 168785
q 192796 242780
q 101998 251809
q 79385 157373
q 109554 244666
q 136825 169622
q 224849 242946
q 186472 230120
q 156635 233136
q 10404 226246
q 199231 232332
q 83218 209237
q 62255 135863
q 64475 192516
q 192300 260398
q 59773 98941
q 40410 115668
q 29594 217667
q 30076 186967
q 12599 34909
q 34378 204532
q 149424 259228
q 117401 185334
q 79825 183556
q 88393 147659
q 25481 90229
q 37323 117848
q 108699 253712
q 39071 99579
q 29735 56043
q 37325 115817
q 128677 152994
q 156228 158271
q 108517 186304
q 83095 143427
q 117473 198904
q 85815 86185
q 9005 114557
q 35970 203586
q 29835 88830
q 179060 183629
q 39334 55317
q 164016 216384
q 30902 53819
q 86946 203088
q 83554 240414
q 202764 212232
q 96848 131264
q 108359 239782
q 21009 191454
q 121065 219913
q 46784 206880
q 43954 161341
q 215886 247541
q 42572 197311
q 15233 118797
q 70550 221633
q 158132 175874
q 189034 234567
q 175511 229693
q 13836 51104
q 153781 216600
q 1193 22902
q 51305 109552
q 540 72314
q 38863 121606
q 30084 85647
q 66343 74039
q 20085 246989
q 59436 182157
q 62658 74669
q 22147 38810
q 145219 196943
q 117642 198022
q 123833 165572
q 31010 137670
q 184792 216676
q 92127 217870
q 143432 207694
q 65278 208235
q 104142 215747
q 67697 245832
q 134040 189789
q 57727 174634
