262144
169984 92160
q 14705 120841
q 11425 150428
q 26482 174728
q 19192 190760
q 42863 168832
q 211703 258753
q 122848 159176
q 199364 257861
q 196573 198289
q 62014 129767
q 141215 148077
q 106929 213178
q 137800 238760
q 83943 116341
q 88732 117722
q 132427 157680
q 45965 209574
q 143853 236056
q 72470 220694
q 127382 255249
q 115333 204809
q 12366 123992
q 61213 65513
q 1659 8083
q 137851 257786
q 63674 143719
q 14708 16923
q 250648 255683
q 72447 152509
q 8088 109881
q 5418 161180
q 108610 140515
q 22225 51383
q 9933 82523
q 75629 94695
q 137316 210029
q 18295 261308
q 83808 222395
q 60377 230479
q 56020 85467
q 106187 149141
q 123110 199739
q 163850 188244
q 54216 116649
q 226531 260692
q 62304 159729
q 202820 231949
q 6196 21188
q 88720 225046
q 31122 57598
q 164349 168438
q 5483 182644
q 167603 227879
q 4309 227980
q 89777 196214
q 21856 40258
q 221596 238919
q 140626 163368
q 17874 147697
q 146245 194842
q 244405 257147
q 43831 214211
q 50027 197824
q 160726 235400
q 4378 138747
q 40953 218324
q 172817 223808
q 78276 223598
q 189543 227907
q 44113 123614
q 55541 65969
q 32316 163872
q 25422 65097
q 172942 173119
q 82971 105641
q 57221 65233
q 100644 101052
q 17301 36324
q 151079 252701
q 27683 197051
q 153231 257080
q 68636 167753
q 30091 114895
q 42295 246030
q 27999 257998
q 51395 165910
q 67638 93969
q 83712 119391
q 132735 256654
q 30367 215707
q 87588 100151
q 18797 200796
q 36098 188641
q 77577 237121
q 26655 172028
q 21591 105260
q 63115 173897
q 178011 189345
q 173231 203988
q 199843 220307
q 124073 201231
q 33056 251239
q 72807 191711
q 62303 152447
q 67318 182815
q 15867 167470
q 8259 34664
q 106122 196901
q 70762 81099
q 12334 97418
q 117595 253128
q 54100 119010
q 29348 46212
q 232111 233337
q 190275 219443
q 158530 171036
q 52204 160131
q 191587 243916
q 81891 232939
q 38113 44075
q 2562 59943
q 10822 205583
q 49562 94607
q 165370 207723
q 130661 220057
q 645 121646
q 75508 119656
q 104857 175746
q 145713 165868
q 76050 123168
q 73845 247087
q 19555 126049
q 145074 211142
q 107821 115869
q 30889 151897
q 33452 153983
q 97422 211840
q 44274 44304
q 146984 251997
q 15502 209675
q 209911 210320
q 23276 137148
q 50750 67832
q 128133 233700
q 196464 204184
q 8165 94724
q 114279 189127
q 72058 134214
q 63278 242036
q 94167 187928
q 79767 131789
q 81486 127619
q 171894 177189
q 62030 125790
q 73321 161747
q 77532 109515
q 21498 214681
q 89330 132791
q 3287 260925
q 60887 199752
q 155612 202965
q 129948 207917
q 7748 79988
q 71026 202006
q 59881 127790
q 165194 191670
q 30670 207558
q 11013 122604
q 136804 202564
q 102168 184634
q 23 210125
q 211683 231624
q 82331 214704
q 58811 217992
q 81112 119698
q 21933 155601
q 13167 101375
q 20915 151882
q 91745 181364
q 91942 241245
q 219536 257136
q 164950 170772
q 25662 181785
q 25410 228227
q 56445 210045
q 4427 68251
q 17791 210068
q 162629 236051
q 32718 100122
q 118478 181234
q 11935 152417
q 165584 203168
q 92907 113311
q 32531 186500
q 16298 184652
q 11632 142045
q 11290 182404
q 36953 44852
q 70263 102045
q 3036 158491
q 18164 71287
q 162918 228233
q 89078 136826
q 128719 189201
q 169544 247197
q 59818 108292
q 49317 259133
q 110300 225403
q 142224 149759
q 64733 142831
q 154464 166057
q 177348 206778
q 74724 251630
q 176770 214302
q 59750 217338
q 73117 77914
q 26482 236036
q 44004 115561
q 110718 172723
q 18119 42618
q 150910 157777
q 77938 154767
q 41197 200227
q 2923 80308
q 145755 190957
q 94870 145041
q 38075 89676
q 10075 112800
q 79163 224377
q 27427 138913
q 100545 179572
q 206054 216828
q 74437 260832
q 59471 185156
q 102090 171411
q 67045 203276
q 19070 253001
q 191085 221812
q 60267 224736
q 9249 251224
q 108347 154291
q 83951 146423
q 94027 243967
q 60986 259224
q 24507 56261
q 199900 235833
q 125052 154584
q 179744 199490
q 153272 239216
q 62540 122503
q 63635 79162
q 70019 129585
q 82706 89253
q 142974 261105
q 8210 51846
q 132055 160194
q 162502 216007
q 44473 144325
q 41554 47890
q 104152 205312
q 66062 143069
q 77842 191115
q 35509 257586
q 128461 188782
q 234658 250965
q 51677 251322
q 52457 118764
q 121697 135163
q 120658 208018
q 15993 259864
q 128869 148049
q 29227 157914
q 101912 202388
q 149803 173553
q 116721 243943
q 47861 253955
q 69654 259790
q 33156 238976
q 65096 105294
q 37611 221938
q 94115 211117
q 89288 146572
q 67737 210985
q 13612 19591
q 35585 69500
q 11332 198369
q 169247 183634
q 23403 227597
q 109492 139006
q 91291 173206
q 165018 255727
q 139152 253374
q 115984 234672
q 24387 37625
q 221278 246325
q 53250 75236
q 164525 195298
q 892 199822
q 113367 219414
q 14504 182867
q 25837 255000
q 119093 176490
q 84546 195084
q 42433 199894
q 110956 223552
q 133724 217136
q 10732 13831
q 208367 248503
q 126717 232754
q 23985 85852
q 99221 216935
q 139102 150090
q 1602 76781
q 114969 150983
q 34052 165488
q 26908 35693
q 154786 191325
q 124266 203399
q 141149 239333
q 166699 200742
q 38279 252106
q 3793 155734
q 49012 101957
q 175730 252297
q 14138 72568
q 27360 261583
q 113359 138541
q 114962 177450
q 66290 215323
q 229932 249375
q 3482 231778
q 14140 160959
q 158268 217539
q 23082 135458
q 96545 189781
q 74056 86507
q 228061 229790
q 14930 90301
q 69604 80454
q 142173 190660
q 94592 190100
q 169533 207952
q 66498 84840
q 19677 60771
q 28559 151130
q 6909 120764
q 21050 32041
q 19580 190310
q 42662 238590
q 63625 72991
q 137681 232443
q 159499 198361
q 105328 249800
q 174933 213292
q 68110 141809
q 54962 162703
q 69765 224495
q 108512 136263
q 47191 169283
q 155940 198321
q 162850 197843
q 56941 229884
q 76521 183900
q 158051 160346
q 119184 221676
q 89484 233338
q 97214 130693
q 25701 202542
q 118349 238993
q 115331 186460
q 118659 170293
q 87020 188424
q 132645 195532
q 62543 179836
q 102671 218484
q 38370 116014
q 119191 172956
q 6111 40947
q 164163 249478
q 106518 201294
q 123696 172488
q 196002 220910
q 41038 221704
q 159387 161308
q 14496 198554
q 55069 83704
q 170724 184789
q 55290 243493
q 43893 104113
q 206785 235127
q 233 88997
q 119424 245155
q 251267 261953
q 160372 249288
q 99522 153286
q 14838 93662
q 9867 27520
q 50905 235749
q 134913 249225
q 185635 210293
q 31853 149409
q 72055 240704
q 202578 222054
q 44548 127346
q 3803 100330
q 4036 251333
q 189327 234345
q 123461 189137
q 21689 223468
q 114611 176281
q 7800 121212
q 129450 131080
q 35321 103055
q 22402 181985
q 130134 237969
q 125235 208037
q 161988 186598
q 102423 197290
q 62493 146508
q 146971 150311
q 136160 162823
q 90007 154348
q 15665 108361
q 17001 69686
q 37355 193283
q 158568 184297
q 51604 201083
q 27504 236405
q 154659 209489
q 130485 258807
q 77480 204701
q 239468 255720
q 129155 190867
q 13520 79748
q 226719 253361
q 154040 163831
q 56035 100736
q 209097 244048
q 71701 261050
q 16640 109056
q 192189 200938
q 5480 131129
q 32984 252542
q 105391 145058
q 102054 242474
q 13399 57810
q 6976 44612
q 35135 173768
q 114883 197844
q 187288 189061
q 79459 88976
q 80958 180195
q 62862 145012
q 127149 216713
q 61768 143789
q 63626 253958
q 69107 82584
q 72982 122944
q 102092 228335
q 82422 218041
q 68246 231441
q 112858 140233
q 175368 238417
q 24483 174117
q 28108 211771
q 101035 107567
q 38604 181993
q 25619 183616
q 152768 244856
q 44481 138186
q 34414 201812
q 36295 116998
q 8775 159239
q 110867 189981
q 125430 145878
q 193290 193677
q 71379 115176
q 44391 91449
q 68874 246748
q 3423 12712
q 18502 104459
q 57107 120280
q 24308 145899
q 7021 240723
q 36524 116765
q 51502 70939
q 56434 87798
q 65209 187938
q 115775 247037
q 110324 176077
q 107223 261654
q 41858 114686
q 86249 178603
q 163207 206136
q 155124 209560
q 173627 175920
q 34056 51875
q 76184 230734
q 179956 209314
q 83205 216480
q 63935 134707
q 25276 120369
q 213214 222506
q 185579 207399
q 66846 99513
q 55580 66356
q 97438 206737
q 123196 181043
q 125036 183688
q 24259 76669
q 72452 200179
q 124328 250296
q 218887 234236
q 152048 200513
q 21575 166057
q 106385 229993
q 131661 156282
q 88219 116645
q 11655 82731
q 61901 149577
q 111168 117481
q 55761 215934
q 134833 214920
q 136465 178958
q 203218 259869
q 70178 213134
q 141254 201287
q 113346 194507
q 132877 158031
q 3251 61945
q 109636 154452
q 29794 48591
q 118014 241297
q 61884 165236
q 129670 227137
q 211462 240838
q 82475 165252
q 34456 35252
q 37942 213415
q 35668 171717
q 122708 154489
q 33599 105847
q 38210 61852
q 146945 219883
q 150196 171087
q 19684 63396
q 49479 259833
q 111987 238986
q 15079 167494
q 35020 38727
q 242216 250189
q 13715 62547
q 48172 153298
q 97799 191241
q 7373 261587
q 153932 226909
q 70612 130081
q 187532 191934
q 72333 108823
q 17767 149673
q 169358 222530
q 81163 220219
q 193150 218838
q 124189 197062
q 208230 235789
q 159210 188302
q 172925 223835
q 114990 250850
q 86506 221098
q 44087 220541
q 8852 93879
q 112330 223961
q 37718 79465
q 153752 188288
q 41282 110052
q 70439 206055
q 25074 210640
q 28514 167335
q 218225 225577
q 29380 164311
q 188590 199222
q 90470 160914
q 79176 99372
q 13760 58326
q 57848 165683
q 16724 259562
q 66700 129055
q 146165 221380
q 112988 166774
q 14682 72310
q 16221 154270
q 85122 102767
q 41296 113636
q 7959 259522
q 37340 77070
q 14148 161689
q 225930 252160
q 63159 175063
q 69193 188824
q 121486 234876
q 138211 246672
q 51229 232295
q 5122 191531
q 171897 197394
q 7561 42376
q 186579 196647
q 9558 23782
q 37270 65079
q 45230 123195
q 62457 200265
q 82570 224147
q 46357 214413
q 127333 214163
q 21212 109516
q 54013 231003
q 38541 256089
q 107070 226240
q 89770 112193
q 25021 155628
q 21946 198004
q 32582 208526
q 56365 132507
q 169778 218084
q 79135 121444
q 183902 215008
q 17256 35434
q 145906 231670
q 81791 97926
q 96859 191308
q 119138 150872
q 113084 160167
q 5094 189414
q 17040 77180
q 117287 232808
q 42062 139233
q 74644 168668
q 39032 85615
q 41556 131009
q 208811 252454
q 120691 161675
q 137947 174213
q 57975 197110
q 16758 107474
q 155901 204333
q 12896 208067
q 93062 106090
q 20332 125980
q 111184 203161
q 37373 228472
q 79435 173825
q 80350 105562
q 154079 191178
q 22945 119383
q 66050 232734
q 13256 91281
q 187470 227725
q 162692 229229
q 74559 245445
q 139203 179450
q 16749 125374
q 109811 152100
q 15937 231464
q 80505 130143
q 167516 219098
q 46834 130780
q 152396 246952
q 138888 211131
q 68370 81430
q 52020 161833
q 134420 175090
q 100002 143302
q 100416 110387
q 550 83718
q 180001 184947
q 201696 222922
q 43231 112879
q 12552 49363
q 128816 179507
q 85771 93058
q 84880 139892
q 69688 216552
q 30145 165539
q 111575 208576
q 108266 233909
q 106186 163596
q 21213 44754
q 121630 206188
q 155142 206738
q 77945 205348
q 124596 166127
q 17497 167828
q 16862 66861
q 145679 180380
q 11295 246368
q 69104 231451
q 151188 185859
q 138793 181333
q 85226 89255
q 30764 61021
q 193492 194360
q 167207 214706
q 111251 239115
q 74192 132113
q 17396 55846
q 180442 210058
q 183524 227555
q 86127 200387
q 4363 32273
q 16497 83922
q 15659 53230
q 85602 166847
q 224395 239089
q 66201 86036
q 47478 116801
q 127222 240970
q 32285 49018
q 25989 193532
q 5581 143536
q 158102 199383
q 22978 106017
q 117682 206502
q 71429 203809
q 103702 144745
q 208173 228668
q 120200 223832
q 19754 205802
q 128535 258844
q 168054 214572
q 62901 215532
q 69229 190123
q 118248 194359
q 125748 222409
q 103801 144237
q 40196 131329
q 41041 154307
q 146214 158723
q 98666 217643
q 100388 243412
q 46417 59202
q 179402 209936
q 8106 229691
q 123061 136642
q 28971 226391
q 27148 89070
q 158300 244504
q 176720 217272
q 14404 177537
q 40324 158642
q 19195 171654
q 60236 198839
q 63818 82909
q 162485 218959
q 38409 57204
q 97611 143753
q 91545 103622
q 14870 111728
q 59092 137931
q 23340 248370
q 75297 166903
q 50488 149264
q 5617 233597
q 63840 248002
q 104165 183154
q 144500 202349
q 13676 81195
q 442 77494
q 164105 219402
q 202514 239979
q 14462 121589
q 37982 118084
q 52853 213134
q 10083 229812
q 190785 216039
q 33423 95544
q 29192 83912
q 645 244808
q 46505 89529
q 10540 248648
q 131004 150670
q 164346 212890
q 212200 213332
q 114162 241841
q 170590 219677
q 54532 185052
q 79122 92515
q 30113 40992
q 8661 145368
q 40196 74010
q 73620 224700
q 169554 253892
q 152219 157532
q 247062 254538
q 198724 241042
q 87251 257602
q 109903 208348
q 59959 251597
q 159537 231295
q 67983 174121
q 188828 228654
q 5807 253036
q 31885 59026
q 35920 204395
q 40546 76116
q 3103 16261
q 149737 185816
q 45125 256996
q 75891 249390
q 12472 30044
q 25502 228289
q 76048 99723
q 89177 233851
q 131244 136008
q 47986 58328
q 199227 247157
q 14497 190119
q 73524 252964
q 26740 222004
q 407 15775
q 32037 102857
q 3510 252594
q 217853 260506
q 31601 35576
q 65620 247753
q 44073 213898
q 91123 143797
q 27803 62830
q 163812 232974
q 29159 194074
q 131157 211799
q 14172 226297
q 4992 59133
q 18994 37677
q 31733 53453
q 19402 134590
q 22912 85490
q 41200 125041
q 21275 160617
q 6885 72801
q 116875 226238
q 55217 220784
q 248587 260672
q 118047 231502
q 49978 150256
q 99911 260661
q 12690 181136
q 64064 240269
q 17683 101742
q 49416 259264
q 16522 155195
q 184006 240686
q 39435 46904
q 19742 60711
q 92543 207522
q 67596 171616
q 26237 209419
q 207947 226833
q 12680 82737
q 162937 177306
q 132716 175824
q 705 51708
q 64770 188514
q 29834 206197
q 26954 166512
q 59564 255613
q 43477 177476
q 38106 82913
q 57848 224381
q 143625 169759
q 150392 211222
q 79231 97667
q 43921 237459
q 43471 250140
q 126659 220777
q 150933 259375
q 134457 151638
q 48939 60828
q 78773 216409
q 4881 120777
q 105728 260495
q 149206 180341
q 175828 218447
q 138065 232120
q 14152 113602
q 45680 164544
q 62680 124911
q 68 37995
q 43539 168833
q 25991 33348
q 2173 176925
q 30580 136631
q 66420 79519
q 20685 197459
q 158293 202341
q 1878 141462
q 59660 200692
q 114377 151085
q 15964 121062
q 30116 252442
q 35978 234664
q 35200 194661
q 160890 194729
q 67580 73196
q 99188 238269
q 100928 240442
q 13969 131509
q 80389 114930
q 50245 211028
q 101075 107178
q 242538 252586
q 109057 191135
q 40054 260143
q 43368 56019
q 33667 119061
q 86135 91581
q 18652 69646
q 126782 230536
q 199978 213382
q 35972 189507
q 37022 136901
q 50991 167806
q 6266 20592
q 131381 217295
q 70838 232456
q 61281 62330
q 171388 212851
q 252417 252905
q 33642 169387
q 26304 46780
q 67309 132916
q 117885 136955
q 151569 244668
q 102807 105348
q 141321 182502
q 30171 219524
q 16079 197978
q 8372 22346
q 139754 218570
q 27265 239642
q 39828 110067
q 60774 88546
q 78820 211216
q 51536 118459
q 98316 112462
q 144764 179772
q 506 231233
q 54583 120658
q 159932 245174
q 165532 223466
q 39110 253637
q 55189 122913
q 131285 189471
q 77536 145898
q 8895 55034
q 118962 173163
q 94862 261710
q 43935 179736
q 78387 231272
q 162395 190849
q 45015 67445
q 36535 108477
q 45522 163061
q 28552 157193
q 60850 118516
q 99960 194085
q 54854 110009
q 37337 155150
q 186140 232686
q 183235 195036
q 25576 94255
q 51854 120439
q 93822 231591
q 164375 172209
q 64626 200720
q 6022 100915
q 109642 209392
q 42558 155165
q 110310 199752
q 171160 183717
q 56124 115659
q 8976 166133
q 164127 170514
q 94510 203470
q 124562 134669
q 27402 160245
q 79257 218817
q 18541 50496
q 48705 182916
q 222705 249425
q 61476 247543
q 95042 255448
q 8725 35862
q 119035 250207
q 171781 235614
q 28052 29594
q 25296 37029
q 195728 195811
q 137055 201156
q 28177 73681
q 55579 261617
q 218291 233927
q 134837 252468
q 6643 183542
q 173241 229349
q 158641 170823
q 28682 164128
q 37407 253683
q 199991 241747
q 156443 173462
q 151385 184496
q 176682 203056
q 136641 221525
q 110349 160537
q 11552 138526
q 11026 234218
q 194106 206002
q 66799 229318
q 196327 235962
q 107424 250341
q 159021 203167
q 3922 231850
q 61005 257606
q 7114 260997
q 163557 237209
q 126450 172315
q 85910 113228
q 40989 45291
q 151338 249869
q 205828 261422
q 27720 177903
q 10304 221827
q 121761 239622
q 26482 55945
q 14679 213440
q 154464 163369
q 167292 173701
q 124170 234707
q 131284 162754
q 137820 233560
q 32698 143731
q 2126 118608
q 43115 256960
q 163900 244685
q 107584 194454
q 222174 243964
q 23344 254268
q 145106 181857
q 208340 231747
q 183044 201051
q 102277 223020
q 75365 134577
q 7425 199535
q 107140 170179
q 68676 78557
q 45855 101375
q 47982 222289
q 217105 219984
q 91098 121740
q 23408 199647
q 181467 229325
q 245583 252669
q 165297 173592
q 135631 143195
q 74539 111493
q 64096 72369
q 139461 176816
q 184241 206947
q 51943 76853
q 92277 145530
q 130501 138132
q 90646 246905
q 186115 204746
q 15069 45607
q 64342 245254
q 31524 38478
q 21918 164578
q 22050 76026
q 157681 187215
q 36565 219222
q 21174 232220
q 108934 146893
q 53738 160636
q 68990 237489
q 105682 161267
q 120875 236183
q 37256 105637
q 64685 223371
q 48240 110293
q 112583 238441
q 14776 93404
q 144107 257982
q 36694 166157
q 71864 223909
q 28942 61695
q 31772 260474
q 50116 107265
q 178665 210753
q 161003 247656
q 4542 186098
q 44830 146779
q 184036 240725
q 43266 150468
q 145263 198708
q 121561 153560
q 49147 246964
q 136337 193254
q 173031 242802
q 52522 97268
q 134797 158963
q 81465 133128
q 131582 190736
q 107258 240393
q 80191 139253
q 4145 92770
q 143795 239550
q 48976 122377
q 161442 199444
q 44562 165644
q 57060 136008
q 166123 185156
q 40317 41880
q 22539 116266
q 213349 213535
q 75061 86002
q 110355 156526
q 38947 219130
q 25964 197380
q 106155 146205
q 74490 238976
q 110301 218285
q 159277 216382
q 78518 115680
q 96578 244162
q 160243 232587
q 39079 64223
q 80959 155599
q 9722 104540
q 55745 103498
q 178560 223257
q 71468 141748
q 72943 98734
q 98908 110416
q 33971 256622
q 108461 205064
q 53222 233454
q 64603 187692
q 143122 212500
q 41229 46934
q 125141 201473
q 17377 164220
q 3552 172977
q 108092 245180
q 86535 182699
q 143813 163838
q 2952 43443
q 75895 215281
q 63554 142178
q 174804 176149
q 58032 117725
q 22466 29343
q 87070 170947
q 121303 217036
q 230192 258266
q 93190 168238
q 185616 197595
q 201147 257410
q 96449 240447
q 17005 47096
q 64838 210935
q 67791 160818
q 113956 254378
q 134412 143687
q 56347 177510
q 48417 235543
q 70884 174072
q 2742 82876
q 157955 219779
q 126003 204179
q 110274 215901
q 151352 219194
q 33746 214461
q 90356 130196
q 137452 192764
q 147201 257603
q 45875 86244
q 63250 78478
q 159831 206938
q 75198 212891
q 1141 261309
q 48598 175214
q 51341 70050
q 228005 258090
q 8976 200126
q 91865 224877
q 48257 48915
q 82003 114086
q 1232 204442
q 193996 212199
q 79751 97256
q 165996 189456
q 143132 252707
q 40820 244474
q 195222 197501
q 116018 198643
q 164617 194387
q 2293 111713
q 107660 215958
q 224934 230298
q 45643 60019
q 93900 187668
q 39610 108935
q 110167 175904
q 125960 244053
q 42020 61660
q 223217 231476
q 104205 227656
q 209987 222040
q 145025 157397
q 143065 261044
q 75309 93896
q 163517 205610
q 77602 117331
q 45757 51126
q 80122 96770
q 5646 105776
q 190671 214711
q 45256 104431
q 27165 62735
q 104755 230391
q 88826 191464
q 54339 74088
q 33526 33984
q 2183 178552
q 145248 191382
q 23134 177453
q 78827 220558
q 36016 228744
q 17727 196159
q 14137 81773
q 114497 187550
q 19783 43025
q 65040 140118
q 147456 202853
q 92206 115704
q 45465 181033
q 45024 119553
q 78551 235372
q 153538 237555
q 82776 257103
q 120660 172412
q 79075 105910
q 72511 251240
q 115091 185255
q 90238 196865
q 199392 204736
q 122271 219176
q 246 247761
q 22073 133074
q 114279 203099
q 248564 248778
q 31659 33169
q 6397 105974
q 110210 259512
q 105170 243953
q 80145 102470
q 15439 186055
q 4535 181545
q 34493 258567
q 86661 189790
q 127039 231358
q 29254 91486
q 14872 84072
q 91732 106145
q 32688 147946
q 134580 220425
q 19108 253594
q 125083 166240
q 14306 259992
q 122451 241802
q 119477 202597
q 82128 134916
q 1530 126509
q 122932 139452
q 36023 67099
q 5238 209594
q 194138 238848
q 16067 96724
q 188457 253720
q 122212 139523
q 80494 221145
q 11959 240253
q 71944 178199
q 69793 103193
q 192506 225645
q 49451 49840
q 131579 166098
q 30463 184756
q 62065 133110
q 153395 169134
q 100846 129164
q 61159 174372
q 8953 77550
q 69127 77226
q 197410 199439
q 156411 208650
q 17789 220610
q 89734 134521
q 136666 237714
q 67029 159527
q 201215 208978
q 105169 116869
q 39482 78414
q 135633 211524
q 26885 101547
q 118514 230712
q 30743 127731
q 29727 205282
q 39696 106953
q 12266 237106
q 44249 220917
q 62038 131374
q 3751 179383
q 53906 151772
q 49155 241466
q 120936 180538
q 237805 258134
q 23564 74404
q 15144 159197
q 23785 116692
q 142300 186082
q 51669 85260
q 114988 173043
q 212739 256952
q 7074 221942
q 4047 187701
q 56931 227991
q 66085 145230
q 60683 217858
q 40005 199137
q 4870 57929
q 860 220543
q 33591 244107
q 48736 75265
q 99050 141161
q 65099 165428
q 241350 250689
q 116769 152250
q 103534 111577
q 63332 102845
q 28403 118651
q 67379 84498
q 85335 133465
q 146018 229729
q 89180 166723
q 94050 186024
q 144424 224652
q 94911 258244
q 126388 170176
q 5405 44836
q 7083 210264
q 70504 248434
q 187274 198810
q 40200 138540
q 36707 241385
q 103533 155359
q 7645 170913
q 92980 239858
q 42234 207443
q 131414 238998
q 112022 162879
q 74531 225465
q 45159 58232
q 70631 171547
q 115468 228409
q 176952 235492
q 63589 247457
q 255 221783
q 98179 172587
q 40456 209295
q 77421 143989
q 85066 102510
q 52758 80225
q 94993 178046
q 25524 154901
q 137547 226408
q 55636 189729
q 100795 212079
q 20567 247962
q 10199 214227
q 136035 187151
q 187576 199624
q 147215 172464
q 82908 199880
q 240336 245395
q 30060 60672
q 122181 132570
q 145739 174940
q 61641 212795
q 7789 238320
q 216543 234198
q 10036 113724
q 63659 161784
q 110832 147602
q 84227 121031
q 99686 220262
q 25119 46038
q 157742 218503
q 95478 172334
q 39268 155585
q 69328 73671
q 195853 216258
q 99853 201899
q 108649 152550
q 116439 161495
q 115894 128727
q 88493 242452
q 125931 250277
q 43968 236763
q 128195 135736
q 95650 235423
q 86313 141689
q 244056 260542
q 98048 170732
q 77391 137316
q 64174 151062
q 18288 206644
q 84771 146399
q 118141 193421
q 17492 36806
q 47717 165534
q 133387 136210
q 145842 259318
q 124344 189811
q 233937 260081
q 55862 67444
q 142176 233360
q 209133 231758
q 45038 124088
q 140346 201480
q 182354 204521
q 90398 126855
q 175170 222809
q 11111 78807
q 47918 106448
q 96299 154165
q 213453 229687
q 28232 97151
q 152577 226862
q 24818 198656
q 80681 150514
q 3956 121730
q 213090 222857
q 84802 91345
q 231692 258128
q 24138 178339
q 114537 174069
q 43050 134734
q 27564 54162
q 134012 213541
q 47697 102080
q 26034 53390
q 15241 54266
q 150542 242103
q 175360 206843
q 95214 178615
q 182572 256042
q 216755 216945
q 46146 133518
q 39414 129502
q 15694 63552
q 45697 189763
q 88748 178089
q 62354 205653
q 13751 142911
q 77522 244992
q 61449 103556
q 36238 76690
q 157823 186780
q 56649 102523
q 99997 235265
q 93895 197737
q 152539 155693
q 27067 48507
q 87921 198685
q 156570 214379
q 151473 202267
q 67419 141999
q 28872 204353
q 10929 171783
q 88451 218105
q 17410 154631
q 190869 192008
q 87688 94100
q 115505 150750
q 190211 215502
q 123871 125805
q 17420 47254
q 16200 95761
q 44487 214886
q 183682 201057
q 73012 167121
q 46977 141181
q 140431 170054
q 151361 251330
q 79693 207292
q 234325 239813
q 169677 224702
q 56659 163050
q 16412 257365
q 185433 207409
q 69136 231915
q 17025 49094
q 65295 86557
q 112786 131045
q 18037 34325
q 69959 185159
q 107337 211141
q 232136 247769
q 119051 221323
q 136986 198744
q 114655 166471
q 129030 170925
q 22189 71832
q 17411 185690
q 88244 130955
q 58015 202844
q 200092 251939
q 24505 75041
q 55090 187827
q 73127 155551
q 222153 225510
q 67347 258286
q 174507 228279
q 31414 52972
q 187458 189959
q 91786 230159
q 42471 138940
q 64661 220816
q 144363 210773
q 36874 82072
q 13174 22773
q 94889 213267
q 12568 169930
q 67658 237773
q 95614 131180
q 55623 140786
q 94546 136928
q 6910 122971
q 103063 175944
q 28378 38324
q 6340 103759
q 120164 146231
q 78837 145280
q 93910 210892
q 30821 223200
q 130784 236375
q 53595 225674
q 66163 187498
q 133460 163127
q 133822 229075
q 12464 32164
q 22555 126711
q 145526 149392
q 133621 252456
q 59326 171946
q 18690 163086
q 138855 178286
q 47174 61423
q 217692 258067
q 155333 178749
q 23973 26744
q 80339 152980
q 78335 249648
q 120964 146503
q 18181 241463
q 11483 87896
q 30646 110452
q 138194 180039
q 9672 255978
q 53161 170351
q 181618 189042
q 97760 216248
q 1278 65753
q 21302 159183
q 52373 259345
q 23946 200051
q 76347 90888
q 63851 104286
q 169223 250789
q 148542 184816
q 6827 10568
q 37473 160026
q 36077 121020
q 114855 217512
q 45749 125720
q 168017 227367
q 52618 122121
q 62984 118372
q 123399 222168
q 120600 139674
q 12397 77582
q 88745 144547
q 168470 248833
