262144
178176 83968
q 55666 177616
q 74518 94044
q 30454 128821
q 210651 239359
q 54408 259423
q 157506 252987
q 84291 117093
q 57319 159806
q 9413 216820
q 10989 171072
q 78134 94940
q 90766 213967
q 220908 232328
q 33172 86930
q 60138 87046
q 111787 115804
q 2518 205832
q 131339 190322
q 167538 236287
q 79847 233566
q 70690 221947
q 44095 128929
q 26591 187783
q 101414 142460
q 10343 36005
q 114140 153449
q 105273 105283
q 64048 204906
q 75457 238078
q 135595 150978
q 622 62980
q 65498 251399
q 179578 206454
q 180597 196838
q 14541 84973
q 44776 152020
q 18806 85231
q 10871 88871
q 45398 190286
q 81403 153332
q 44637 200630
q 43769 195543
q 138305 149911
q 107817 225368
q 114240 258796
q 98820 177220
q 88075 259418
q 203728 242719
q 5510 177413
q 90483 122182
q 12059 191955
q 15043 135259
q 30865 224131
q 25915 76263
q 152273 179247
q 90760 157666
q 91066 223885
q 111652 134529
q 229371 242347
q 74877 81468
q 173697 238999
q 236274 258688
q 239264 261772
q 5139 177858
q 37897 154534
q 84345 95622
q 49956 230882
q 80822 99389
q 125304 192869
q 82999 157085
q 42407 52608
q 4149 173759
q 46145 143674
q 110902 115802
q 26349 190679
q 3204 192370
q 102232 188915
q 101861 239478
q 155193 166036
q 58426 107000
q 193091 202623
q 142772 243048
q 171361 242161
q 61726 102087
q 105321 218812
q 147729 185087
q 9276 96702
q 151879 152951
q 5537 142848
q 1710 169197
q 194081 196217
q 36306 172402
q 120853 149737
q 24745 138167
q 42786 245168
q 83172 235878
q 185648 225944
q 94865 216782
q 16364 205962
q 49140 196953
q 119896 235177
q 196870 244454
q 86605 216599
q 97304 135261
q 92143 136972
q 4357 26216
q 68910 176759
q 62522 189763
q 64352 200690
q 107139 214508
q 35536 183715
q 80873 107219
q 35511 261481
q 202085 205299
q 51876 136894
q 24909 254439
q 189165 256791
q 7219 211246
q 13627 142481
q 46406 105770
q 17310 50764
q 86220 131987
q 194510 227524
q 13839 29732
q 133056 228348
q 54628 136872
q 1741 217746
q 1078 161847
q 101788 253258
q 42990 206378
q 198673 238683
q 67900 233330
q 75120 125695
q 139322 182433
q 217601 228839
q 234912 245093
q 17460 114936
q 58988 244984
q 47302 72828
q 12573 180359
q 39033 149445
q 40775 234987
q 105047 134690
q 41854 96162
q 236479 248232
q 139152 213018
q 184762 207053
q 48314 184204
q 20029 104493
q 187636 237631
q 71189 170585
q 88650 210399
q 7244 23378
q 70680 71490
q 80073 84063
q 119106 251040
q 223883 233509
q 76413 159882
q 96430 201736
q 70765 172575
q 49584 187824
q 21639 110443
q 205844 256637
q 14523 158757
q 48194 84249
q 119383 252154
q 200410 254835
q 16069 208033
q 17380 207655
q 25584 86750
q 75646 101444
q 72809 144691
q 37385 42429
q 133816 149222
q 59654 244166
q 169846 204581
q 109238 226221
q 18145 103731
q 169921 176903
q 118255 218115
q 108266 261153
q 75355 253844
q 21244 46533
q 7770 254188
q 38625 94521
q 17629 140069
q 162321 170167
q 207553 212878
q 99957 204751
q 79225 186773
q 21663 159611
q 6706 94476
q 112622 247884
q 110438 155661
q 27381 228693
q 26390 111633
q 74815 186988
q 18091 121348
q 25861 208233
q 113393 246858
q 120383 131023
q 28406 124784
q 31201 75518
q 235952 235960
q 53041 175476
q 72944 160582
q 74705 255058
q 60445 79650
q 105536 190088
q 132917 216107
q 65596 156637
q 159308 231453
q 177399 252585
q 90658 198674
q 203261 204052
q 61500 183389
q 46029 72931
q 89907 104133
q 63723 121548
q 34880 77941
q 116765 238524
q 107825 191470
q 187475 231438
q 74831 251915
q 115419 205878
q 9913 207749
q 9331 104913
q 241367 261916
q 20169 69882
q 198447 223430
q 11790 119692
q 22787 84722
q 112694 165722
q 25126 188855
q 4653 176418
q 31039 60007
q 167832 243177
q 212472 222509
q 93163 212281
q 25159 208583
q 156016 232908
q 165348 218497
q 75677 197721
q 95846 165120
q 5459 101424
q 17250 57133
q 79921 221116
q 101973 124694
q 28685 192615
q 106889 149821
q 33338 209828
q 14372 137929
q 98295 115517
q 208681 226844
q 48432 252003
q 155120 204449
q 111474 222768
q 36301 107653
q 10629 47052
q 52511 132148
q 112053 189282
q 69762 71026
q 7059 171735
q 195721 199675
q 83399 200420
q 44420 233759
q 31083 182350
q 146601 248131
q 18501 212832
q 66933 93138
q 202692 248259
q 9238 163316
q 97589 116891
q 144641 199618
q 69622 127521
q 197153 239575
q 4771 258905
q 3820 48458
q 176507 244179
q 114784 203495
q 65434 247916
q 86399 96518
q 72387 168122
q 186623 243119
q 23076 74113
q 225768 253557
q 652 60228
q 126940 157818
q 64414 117543
q 40316 245065
q 134037 237469
q 130798 222497
q 8811 242241
q 134619 156605
q 75970 252990
q 9245 56281
q 61743 95645
q 152799 229865
q 133775 168032
q 154345 191108
q 145758 207888
q 5973 154733
q 19529 146410
q 1810 163791
q 83944 204107
q 217982 246876
q 179433 207229
q 86637 159531
q 216040 221256
q 53992 206887
q 35083 63238
q 1024 96826
q 153824 158883
q 64548 64772
q 25455 218893
q 233344 255880
q 102508 148470
q 239317 248919
q 140965 168000
q 250730 251944
q 82929 235462
q 219 207783
q 32276 180547
q 134444 159750
q 213743 253533
q 26472 79187
q 14837 80212
q 123299 173720
q 187847 234037
q 238492 259492
q 144597 232229
q 230693 247105
q 118555 207866
q 24411 233880
q 86688 222466
q 14212 169618
q 195785 221996
q 114188 169837
q 67444 254273
q 245662 248633
