262144
129024 133120
u 225820 -4
u 166844 -19
u 228314 2
u 154335 0
u 216124 9
u 159167 8
u 5918 16
u 116034 -2
u 229696 -7
u 207560 -7
u 1912 6
u 206891 10
u 196319 8
u 104170 7
u 253834 -8
u 56335 13
u 175007 14
u 221863 1
u 107054 -2
u 15608 -10
u 45956 6
u 244920 -12
u 150263 -4
u 166704 -2
u 178061 -2
u 202175 7
u 24027 2
u 115855 13
u 71312 13
u 138782 -10
u 31952 9
u 18371 11
u 156153 16
u 85993 -19
u 92145 -4
u 62099 1
u 14235 -13
u 189976 5
u 143687 -5
u 20170 -10
u 206658 13
u 239579 15
u 107125 -5
u 188888 7
u 51174 -10
u 241442 -7
u 260644 19
u 27942 3
u 237903 -2
u 155718 -9
u 215539 13
u 206005 15
u 550 0
u 132129 2
u 228375 3
u 203843 6
u 112502 7
u 141431 13
u 12426 -9
u 135922 -10
u 133702 -2
u 146727 0
u 112890 6
u 24713 -6
u 26463 7
u 156554 16
u 136106 -4
u 209633 0
u 234254 -7
u 18751 10
u 231919 13
u 111231 -7
u 141730 18
u 39763 3
u 58694 6
u 217758 9
u 28763 -4
u 62456 1
u 14868 -6
u 230302 -13
u 5458 0
u 21190 1
u 225128 15
u 16078 10
u 48300 -14
u 135581 -17
u 257425 17
u 100354 0
u 237331 1
u 29025 -14
u 53660 17
u 226279 -7
u 86982 -15
u 224076 -4
u 113761 9
u 143182 -1
u 54804 5
u 260784 -17
u 133054 -17
u 215028 7
u 49548 -6
u 199430 -13
u 73133 -14
u 181842 -12
u 177759 12
u 82204 15
u 195508 -12
u 51699 -16
u 72931 -17
u 122197 8
u 205867 -19
u 43767 19
u 167610 -13
u 16316 -14
u 57126 15
u 219875 -3
u 57666 3
u 151504 0
u 194803 -9
u 179122 -3
u 19927 19
u 79694 12
u 45521 0
u 235782 -1
u 145025 -5
u 43000 -6
u 99072 -6
u 87277 -19
u 129176 -4
u 43059 8
u 72795 -19
u 30833 0
u 157952 7
u 261262 -6
u 253540 7
u 201030 -18
u 177422 -17
u 226759 14
u 149974 10
u 79252 -14
u 34089 -1
u 121606 0
u 209021 11
u 137700 -8
u 50334 7
u 212 -1
u 181551 -15
u 253591 -8
u 213382 18
u 167971 11
u 168806 -3
u 216103 -7
u 125439 7
u 44884 -17
u 118971 -1
u 46127 3
u 246389 5
u 24078 9
u 114473 4
u 7176 5
u 80395 -18
u 25793 19
u 38434 -17
u 77163 18
u 7807 17
u 194452 6
u 89849 2
u 260697 12
u 66986 -13
u 228559 8
u 167574 -18
u 76875 3
u 180275 -4
u 82943 -15
u 589 -6
u 197413 -7
u 97509 14
u 80788 0
u 240448 4
u 125616 17
u 140943 -11
u 162724 15
u 206336 4
u 183937 -18
u 204717 2
u 197137 -3
u 162895 -18
u 261968 -7
u 112822 -7
u 113633 -2
u 172889 -12
u 194396 -18
u 9965 -18
u 144198 18
u 170993 -18
u 236524 -12
u 65596 0
u 18441 -18
u 36240 10
u 20968 16
u 90588 13
u 88961 18
u 229974 -6
u 72368 -7
u 171554 8
u 194064 -7
u 234903 0
u 90553 17
u 139358 15
u 233138 -12
u 242423 11
u 98000 -12
u 82480 -2
u 55664 -1
u 56677 -8
u 97533 2
u 32594 8
u 138607 -19
u 13135 12
u 81077 8
u 134832 -18
u 4845 -3
u 139314 -5
u 90317 -17
u 68007 -10
u 64738 -12
u 6685 4
u 94162 -6
u 17037 2
u 207885 -8
u 226459 -13
u 220981 19
u 229769 -5
u 259478 17
u 46276 -8
u 165451 7
u 91409 5
u 26556 15
u 3551 -2
u 247254 -9
u 178185 -12
u 119845 8
u 212587 12
u 11892 15
u 101690 13
u 41195 -9
u 909 -19
u 62916 15
u 97478 -10
u 211440 1
u 138662 -2
u 62719 15
u 22900 -6
u 198652 -15
u 206149 8
u 98011 -1
u 233611 13
u 44917 8
u 169721 -11
u 151535 -18
u 14445 9
u 75273 -17
u 192764 1
u 246034 -15
u 198441 9
u 171854 -8
u 47935 15
u 42888 -9
u 61705 16
u 97288 -19
u 163160 9
u 127902 0
u 151013 6
u 56539 -11
u 229630 11
u 67858 17
u 138661 1
u 259430 -9
u 19178 17
u 97381 13
u 176508 -18
u 30436 14
u 241665 -8
u 33136 -13
u 52722 0
u 46937 12
u 63581 6
u 88368 12
u 85515 2
u 11041 -11
u 90837 -7
u 34933 15
u 222032 -15
u 36637 16
u 13396 0
u 196686 8
u 141110 14
u 152205 -1
u 38303 8
u 161858 -6
u 53622 11
u 44766 -2
u 121491 0
u 69655 11
u 15897 -7
u 260007 -3
u 159596 -14
u 74090 -1
u 65016 -3
u 98551 -8
u 244747 -14
u 6175 -1
u 260216 4
u 244345 -14
u 81578 1
u 127402 0
u 90711 6
u 252405 12
u 43160 -10
u 157065 -10
u 140613 3
u 165793 -14
u 187726 16
u 157551 18
u 88468 19
u 69012 -9
u 27052 -8
u 194785 -16
u 233567 7
u 61501 -11
u 58903 8
u 188203 2
u 98929 7
u 99673 1
u 238381 19
u 201147 -2
u 149523 -4
u 154917 -8
u 82538 -12
u 65704 6
u 44283 0
u 242078 -9
u 209904 6
u 96460 7
u 89563 4
u 234330 2
u 84721 4
u 35937 8
u 76710 0
u 63596 -11
u 130206 -19
u 169800 -17
u 107397 -10
u 92692 8
u 112898 4
u 98798 3
u 30970 -7
u 228517 16
u 253453 -10
u 160060 -7
u 220794 0
u 229339 -13
u 30493 -19
u 227022 -3
u 138745 -15
u 160152 -18
u 31074 -9
u 24394 1
u 130382 -2
u 66264 17
u 13340 5
u 138319 -13
u 243796 -4
u 23041 15
u 167526 7
u 53835 0
u 53204 -16
u 169548 -7
u 24165 0
u 190901 4
u 162901 -6
u 169718 9
u 156718 9
u 70305 -16
u 49055 0
u 6094 -10
u 39489 2
u 106706 -16
u 249106 0
u 256248 3
u 50706 -12
u 18521 -4
u 68971 8
u 187609 -5
u 60352 -2
u 256047 14
u 205277 4
u 155087 -4
u 95590 14
u 124809 2
u 99819 0
