262144
145408 116736
u 56670 19
u 44479 7
u 231692 5
u 89425 17
u 58860 11
u 152478 9
u 203596 0
u 253008 4
u 57039 10
u 70515 14
u 207263 -12
u 130112 10
u 123956 -19
u 31785 0
u 84793 -12
u 76489 1
u 44084 -1
u 62236 -17
u 24384 3
u 258213 -7
u 98398 2
u 17418 -13
u 12301 -18
u 198711 -9
u 207019 -18
u 33682 3
u 57722 4
u 89063 7
u 166763 -1
u 46515 18
u 170204 -1
u 130877 12
u 243973 9
u 227921 -19
u 82631 14
u 89459 7
u 110394 -3
u 220880 -1
u 115161 4
u 192037 -10
u 164531 14
u 212176 13
u 127371 -14
u 141788 -15
u 159943 8
u 21404 -9
u 49165 3
u 20148 -15
u 83251 17
u 37209 5
u 209917 0
u 84768 -11
u 233546 -13
u 180863 -6
u 200952 -3
u 146600 -4
u 74332 -5
u 63450 10
u 135728 11
u 233695 -14
u 131399 18
u 101532 7
u 145237 -1
u 211559 14
u 107607 17
u 132227 -11
u 113292 13
u 113548 -7
u 260499 -15
u 171258 10
u 143025 -11
u 40504 13
u 152348 -4
u 156917 -16
u 47050 0
u 59461 7
u 121424 4
u 96869 -19
u 20530 -12
u 233006 0
u 32908 -4
u 183518 2
u 57940 -14
u 230896 -11
u 67190 1
u 255604 12
u 195725 -14
u 165429 -6
u 137921 -10
u 111863 8
u 188671 6
u 101276 -12
u 70174 10
u 52469 -6
u 244431 -16
u 218842 -17
u 126421 1
u 161397 8
u 175138 0
u 240658 16
u 8015 15
u 190400 11
u 5941 -5
u 27527 1
u 153888 1
u 66689 -7
u 48571 5
u 128368 -1
u 103968 7
u 209451 -6
u 204170 5
u 101452 -9
u 44222 -19
u 252810 13
u 130854 15
u 199546 1
u 203300 0
u 80468 11
u 221489 -3
u 90959 -2
u 247387 4
u 193650 -14
u 63471 -10
u 152561 5
u 240713 -4
u 253696 7
u 3873 -5
u 251187 -12
u 93709 16
u 5313 14
u 211034 11
u 101291 3
u 70519 7
u 99288 -15
u 27611 9
u 143098 -18
u 85752 -8
u 46669 2
u 134481 10
u 54520 -2
u 36954 -12
u 33646 -13
u 139077 -16
u 88924 15
u 2400 -5
u 195208 12
u 36953 -14
u 103482 -3
u 216115 10
u 137337 17
u 130874 -17
u 256582 13
u 92898 -13
u 103707 14
u 240338 4
u 78286 -17
u 204301 -2
u 55978 -7
u 134623 2
u 51878 0
u 239140 17
u 88316 -17
u 19298 9
u 121423 15
u 132425 19
u 216997 -19
u 14908 12
u 217783 -3
u 252543 -10
u 73042 15
u 217576 3
u 245887 4
u 1118 -13
u 240969 0
u 184624 -15
u 10622 4
u 15646 -4
u 175572 -14
u 28593 -14
u 8215 4
u 31468 14
u 162175 -12
u 174504 -2
u 154184 5
u 177162 14
u 133496 0
u 116411 -2
u 30184 -2
u 156961 -18
u 253271 -7
u 39712 -19
u 241063 -11
u 100689 3
u 90305 0
u 189342 -4
u 28158 13
u 61589 9
u 5043 16
u 46004 4
u 138852 14
u 124310 -18
u 93617 16
u 127444 -1
u 96107 -16
u 132810 -6
u 101703 6
u 88985 -7
u 227883 8
u 235114 -11
u 56814 4
u 154564 -7
u 120979 12
u 13163 0
u 190103 -10
u 23107 -9
u 20190 2
u 77017 -2
u 125995 11
u 237608 13
u 226724 -3
u 47194 -9
u 18654 0
u 146907 17
u 63712 -1
u 40437 -1
u 20046 9
u 205500 1
u 149013 13
u 4905 -8
u 15687 -15
u 143784 -14
u 175430 13
u 149685 -14
u 163120 0
u 261385 0
u 233426 -12
u 193984 18
u 182617 -7
u 236474 17
u 198625 -17
u 104712 13
u 209771 -12
u 97553 -5
u 4588 -4
u 173613 -16
u 130471 -11
u 56154 -13
u 13912 11
u 83040 7
u 68846 -7
u 42588 -13
u 128718 16
u 30066 -12
u 53176 -19
u 33377 18
u 19165 1
u 208329 14
u 186158 -13
u 63433 9
u 146198 16
u 211022 -17
u 30157 -19
u 58284 -13
u 210872 1
u 221102 -17
u 223607 -19
u 57704 -6
u 238120 -6
u 139374 -15
u 92167 6
u 18811 -3
u 48697 14
u 78126 15
u 8735 1
u 163458 3
u 116463 -2
u 169459 2
u 117369 14
u 190690 -9
u 106925 2
u 83673 -9
u 151195 1
u 158572 0
u 229148 -14
u 156325 -10
u 208554 6
u 170505 19
u 140134 17
u 229963 2
u 128047 0
u 41660 17
u 243614 12
u 128987 -4
u 176720 -11
u 164937 -16
u 207182 17
u 89891 -5
u 127844 17
u 223407 -5
u 22122 -2
u 154022 15
u 30582 -10
u 225785 6
u 48871 9
u 57443 6
u 62740 -4
u 159286 -13
u 48079 -16
u 143050 14
u 83664 -13
u 246302 -15
u 32311 -8
u 124937 4
u 60370 -6
u 255006 -7
u 203789 2
u 51026 15
u 209268 -17
u 142944 19
u 208274 10
u 172915 -18
u 37346 -9
u 53081 -6
u 96188 9
u 48082 7
u 241976 -15
u 208555 -18
u 106291 -9
u 172300 5
u 157549 5
u 249154 -4
u 49902 -14
u 71422 19
u 52706 12
u 255166 19
u 152610 5
u 7707 8
u 235995 -10
u 13240 -9
u 256921 -10
u 249892 16
u 93563 9
u 248898 10
u 5508 4
u 104372 4
u 62073 -6
u 107 -2
u 129420 -9
u 109003 7
u 23753 -4
u 180963 6
u 5819 8
u 104178 16
u 249460 -2
u 49711 17
u 178741 -14
u 218849 -18
u 233762 11
u 210015 16
u 102515 -12
u 140184 5
u 143626 1
u 14421 -18
u 211822 -1
u 193028 15
u 225450 -2
u 149796 15
u 38375 18
u 210940 -16
u 109250 19
u 7787 -16
u 35967 14
u 36008 -18
u 170097 17
u 246856 -18
u 36124 0
u 175057 7
u 3044 8
u 190653 12
u 50760 -1
u 188299 -17
u 233386 -8
u 245336 -18
u 67783 9
u 35311 7
u 192641 -13
u 202881 14
u 7591 16
u 236194 7
u 222770 13
u 188156 19
u 83660 -4
u 176502 -6
u 28406 -3
u 39428 -7
u 226550 14
u 93232 10
u 41535 -8
u 207412 -3
u 8414 17
u 24208 10
u 23678 14
u 167520 -15
u 203835 1
u 208958 5
u 100334 0
u 161213 8
u 236041 -8
u 8556 -19
u 180584 -12
u 81470 2
u 13568 6
u 80640 -11
u 251128 -16
u 164423 19
u 6488 8
u 198455 -15
u 153578 -4
u 61436 -5
u 245403 -18
u 259732 -7
u 143221 4
u 5444 -2
u 234374 -17
u 119423 3
u 61985 10
u 35661 -8
u 113452 -2
u 130657 -4
u 142210 -14
u 99836 2
u 221569 -14
u 178866 -2
u 139979 16
u 208274 -1
u 248553 11
u 206832 0
u 102521 12
u 246751 -8
u 226278 -4
u 227566 -16
u 42780 -19
u 101673 3
u 117385 15
u 258670 19
u 3124 -5
u 146151 14
u 132510 -10
u 75553 -18
u 41033 -16
u 133584 -15
u 227548 -8
u 157075 -9
u 28406 1
u 142678 18
u 245714 -3
u 18660 -15
u 109184 -1
u 182584 14
u 90521 7
u 224022 -5
u 13330 -3
u 56194 2
u 170904 0
u 156187 12
u 153433 -15
u 239381 -1
u 105901 0
u 186763 0
u 13851 -9
u 126849 19
u 175398 2
u 23772 -16
u 3700 11
u 249010 -5
u 123324 12
u 187866 0
u 56775 17
u 20352 14
u 113666 6
u 177474 -19
u 204168 3
u 123793 -12
u 26881 -12
u 182233 -13
u 115710 -12
u 38155 -15
u 192448 -10
u 51404 9
u 6141 -14
u 28226 0
u 249159 12
u 3977 -13
u 198011 -16
u 9328 -12
u 200870 8
u 54490 1
u 79371 7
u 190820 -3
u 226696 -3
u 146986 -7
u 157848 8
u 109228 -6
u 247070 4
u 22157 18
u 198903 -12
u 120533 8
u 4333 -1
u 229710 10
u 148842 16
u 251879 -6
u 163697 -13
u 230463 17
u 222509 4
u 87178 8
u 7905 15
u 5181 5
u 157163 -2
u 253905 1
u 12898 -17
u 133157 12
u 64303 18
u 135576 -9
u 116058 -4
u 8838 -19
u 80038 19
u 90325 17
u 42799 -11
u 224662 -19
u 217783 -12
u 190226 14
u 21718 9
u 129298 7
u 47673 -1
u 58827 -10
u 134979 9
u 10229 10
u 183532 2
u 5775 -14
u 248949 -17
u 40203 -9
u 13187 0
u 48436 -11
u 189173 -18
u 59151 2
u 60651 18
u 108358 -7
u 182642 16
u 261252 15
u 96572 -11
u 28743 15
u 249921 -14
u 168689 6
u 184779 6
u 208757 6
u 189079 17
u 238429 10
u 117345 -16
u 258252 -13
u 35676 -11
u 189188 -5
u 42494 -14
u 178699 14
u 10914 7
u 193309 -3
u 235744 13
u 76893 14
u 261026 17
u 132688 8
u 157904 -7
u 93103 -7
u 66118 -9
u 24962 7
u 94111 -16
u 227839 0
u 76331 3
u 226117 -1
u 190286 1
u 81819 10
u 58336 -18
u 46544 -15
u 235038 -1
u 255459 15
u 106877 0
u 155438 -19
u 205305 17
