64
160 96
u 44 -8
u 36 4
u 1 -7
u 49 0
u 36 8
u 47 -1
u 50 1
u 32 -4
u 22 0
u 42 7
u 40 0
u 61 4
q 6 47
q 33 45
q 27 50
q 5 10
u 13 8
u 21 8
u 32 -4
u 42 8
q 15 28
q 22 40
q 50 53
q 18 41
u 50 2
u 11 7
u 45 8
u 37 -5
u 23 -3
u 32 -6
u 32 0
u 32 -1
u 50 -8
u 56 7
u 21 -3
u 13 9
q 2 16
q 32 49
q 3 23
q 43 59
q 32 38
q 19 60
q 39 56
q 3 29
q 36 58
q 35 55
q 23 41
q 14 48
u 5 -1
u 59 -5
u 30 -6
u 62 9
q 22 43
q 10 27
q 17 42
q 13 47
u 22 3
u 38 0
u 37 -6
u 2 0
u 43 -5
u 49 3
u 19 -5
u 37 0
u 49 0
u 42 -9
u 55 -3
u 11 -4
u 53 -9
u 53 -2
u 24 0
u 62 7
q 10 57
q 36 44
q 37 50
q 15 29
q 42 52
q 22 39
q 7 37
q 1 38
u 23 5
u 17 9
u 39 -3
u 52 9
u 21 9
u 36 -1
u 8 0
u 1 6
q 19 51
q 18 57
q 7 62
q 20 33
u 40 -3
u 19 2
u 44 -8
u 57 3
u 13 0
u 44 8
u 53 3
u 31 -4
u 61 -3
u 40 -9
u 6 8
u 20 -9
u 27 0
u 13 -7
u 10 1
u 29 5
q 34 43
q 15 59
q 27 57
q 52 59
q 20 37
q 24 35
q 17 55
q 1 19
u 60 2
u 62 6
u 2 0
u 4 -6
u 39 2
u 28 7
u 11 -7
u 50 -1
q 13 22
q 30 55
q 11 60
q 2 21
u 57 -3
u 48 7
u 18 -2
u 53 -7
u 21 -5
u 38 9
u 52 -5
u 28 3
u 36 0
u 54 2
u 43 -5
u 30 -6
q 13 41
q 7 30
q 6 52
q 55 62
q 15 52
q 16 42
q 9 29
q 9 16
q 32 38
q 60 62
q 10 28
q 8 50
u 16 -4
u 8 8
u 32 2
u 1 2
u 56 1
u 35 -7
u 25 6
u 50 1
q 3 45
q 35 36
q 19 34
q 30 31
u 18 -4
u 6 -4
u 33 -1
u 26 -1
u 1 -1
u 33 0
u 21 -7
u 1 0
u 53 -5
u 4 -7
u 18 5
u 44 6
q 15 21
q 13 37
q 39 53
q 20 57
u 46 -3
u 50 2
u 21 -5
u 10 6
u 18 6
u 1 6
u 42 -4
u 56 5
u 42 0
u 26 5
u 46 4
u 21 8
u 11 -4
u 17 0
u 0 1
u 20 2
u 35 6
u 45 -7
u 6 0
u 9 8
q 26 49
q 0 62
q 28 31
q 12 24
q 8 34
q 10 32
q 28 45
q 16 49
u 22 1
u 5 -4
u 8 8
u 63 -4
q 25 33
q 47 58
q 44 51
q 47 49
q 9 14
q 21 29
q 17 55
q 39 49
u 4 1
u 53 0
u 58 -1
u 38 -6
u 32 -6
u 52 0
u 44 -5
u 27 -1
q 7 11
q 15 50
q 26 60
q 37 55
q 28 30
q 0 2
q 35 55
q 3 29
q 41 54
q 10 51
q 32 43
q 6 56
u 57 -5
u 7 3
u 30 0
u 40 -8
u 54 0
u 55 7
u 34 -1
u 26 -1
u 56 4
u 8 0
u 36 -4
u 21 -5
u 53 -7
u 4 5
u 1 -3
u 57 4
3
7
2
0
8
4
1
12
16
9
13
-2
2
2
-1
10
9
2
-1
3
1
10
-10
7
-23
-6
-15
-8
-23
1
-2
-10
-22
-11
2
10
-22
12
-10
19
1
-6
5
12
4
-7
12
-10
-5
-2
4
-5
9
2
-7
-13
-1
-1
-10
-3
-10
-7
2
-6
3
-5
-5
-11
17
42
2
15
44
26
9
45
11
-1
11
6
3
28
41
-3
22
8
-21
-16
8
7
-10
41
-5
5
-13
20
